ID,Weight
OFF_FR_121,397
PDT01534,408
PDT02369,430
ViewUsersStart,745
OFF_FR_107,504
cms_000033,640
C221211,523
SkuOFF_FR_10078,159
C203230,329
C2213,1619
OFF_FR_262,927
SkuOFF_FR_1747,163
C195020,619
C18,848
OFF_FR_412,774
OFF_FR_1451,306
C151540,300
/exploitsdesportives,361
C1440,1204
PDT01632,486
PDT00308,723
SkuPDT01299,207
OFF_FR_1262,362
C1430,2152
PDT01638,421
SkuPDT02320,370
PDT00572,538
SkuOFF_FR_409,268
C192020,1593
cms_000019,822
PDT176585,423
C231314,922
C204060,161
PDT01947,428
OFF_FR_1495,259
SkuPDT02486,181
ViewLandingPageSportParticipate,300
SkuPDT01555,159
SkuOFF_FR_0853,211
C118520,373
C139320,551
SkuOFF_FR_1508,175
PDT00912,662
OFF_FR_1835,515
ViewElectronicInvoiceDispatch,361
C227013,435
PDT01422,285
PDT499590,508
PDT00105,385
SkuPDT02444,245
SkuOFF_FR_1615,285
C111018,500
SkuOFF_FR_1452,152
SkuPDT00753,183
C131040,792
C204010,287
C20,912
C2316,886
SkuPDT263583,245
C118030,173
SkuOFF_FR_1502,165
C191026,397
C2214,1165
SkuOFF_FR_1845,135
C165315,406
C2032,491
C201820,521
PDT01317,975
SkuOFF_FR_1054,190
OFF_FR_111,402
C116040,294
C9917,311
SkuPDT00325,180
PDT02396,321
OFF_FR_409,659
PDT01392,532
SkuOFF_FR_1033,308
SkuPDT00966,171
PDT01269,757
SkuOFF_FR_1252,180
PDT345580,804
PDT00473,517
C224012,297
C139350,459
C1330,514
SkuPDT10575,165
SkuPDT173582,139
OFF_FR_1615,477
C1455,1171
PDT00389,335
OFF_FR_0923,315
C163260,268
PDT01116,424
C2230,1331
OFF_FR_1777,369
SkuOFF_FR_202,140
SkuPDT523583,145
OFF_FR_014,823
C114010,892
PDT00488,702
PDT00247,344
ViewDataStart,8077
SkuPDT01255,195
SkuOFF_FR_336,173
SkuPDT00249,162
SkuPDT01392,250
OFF_FR_1193,551
PDT01894,294
SkuOFF_FR_179,232
C121310,419
PDT01565,329
cms_000006,520
OFF_FR_1109,410
PDT176580,317
