Source,Target,Traffic
GM220C,PDT02172,2
P93871,PDT02172,2
GM23PB,ViewParametricSearchSimpleOfferSearch,2
GM23PT,OFF_FR_1522,4
GM23PT,GM23PT,2
OFF_FR_15100,733313,2
OFF_FR_15099,ViewParametricSearchSimpleOfferSearch,2
COUVGOB17N,OFF_FR_1652,2
OFF_FR_0902,C221112,2
OFF_FR_0902,ViewParametricSearchSimpleOfferSearch,4
792204,OFF_FR_336,2
733002N,OFF_FR_0787,2
733002N,OFF_FR_1522,2
OFF_FR_1652,C2212,2
OFF_FR_1652,PDT232580,2
OFF_FR_1652,COUVGOB17N,2
OFF_FR_1652,733033,4
OFF_FR_1652,OFF_FR_336,2
OFF_FR_1652,ViewDataStart,2
OFF_FR_1652,ViewHeaderViewAccountIdentification,2
OFF_FR_1652,PDT01254,2
GOB24BRUN,OFF_FR_1239,2
GOB24BRUN,OFF_FR_1523,2
GOB24BRUN,ViewHeaderViewReference,2
GOB24BRUN,ViewOrderTemplateViewAll,2
GOB24BRUN,ViewParametricSearchSimpleOfferSearch,2
GOB24BRUN,ViewUserAccountShowRegisterClassic,2
GOB24BRUN,GOB17BRUN,2
OFF_FR_1523,C2260,2
OFF_FR_1523,PUL2033,2
OFF_FR_1523,OFF_FR_0900,2
OFF_FR_1523,733313,2
OFF_FR_1523,OFF_FR_282,2
OFF_FR_0900,OFF_FR_1239,2
OFF_FR_0900,OFF_FR_1652,2
OFF_FR_0900,PDT02172,2
OFF_FR_0900,OFF_FR_1523,2
733313,OFF_FR_1523,2
OFF_FR_0787,SPATB,2
OFF_FR_0787,OFF_FR_1652,2
OFF_FR_0787,733037,2
OFF_FR_0787,ViewParametricSearchSimpleOfferSearch,2
733037,OFF_FR_0787,2
OFF_FR_282,C9924,2
OFF_FR_282,GOB24BRUN,2
OFF_FR_282,OFF_FR_0787,2
OFF_FR_282,OFF_FR_282,2
OFF_FR_282,733303,2
OFF_FR_282,OFF_FR_336,2
OFF_FR_282,ViewHeaderViewAccountIdentification,2
OFF_FR_282,ViewOrderTemplateViewAll,2
733304,C2211,2
OFF_FR_1736,home,2
OFF_FR_1736,C2311,2
4BR,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_336,GOB18BL,2
OFF_FR_336,PDT01254,2
OFF_FR_336,OFF_FR_0902,2
OFF_FR_336,OFF_FR_336,2
793325,OFF_FR_1522,2
793325,home,2
OFF_FR_1522,G25CR,2
OFF_FR_1522,GMPT40,2
OFF_FR_1522,793325,2
OFF_FR_1522,OFF_FR_1522,4
OFF_FR_1522,C22,2
OFF_FR_1522,C205010,2
OFF_FR_1522,ViewHeaderViewAccountIdentification,2
OFF_FR_337,C226017,2
OFF_FR_1238,OFF_FR_1238,2
OFF_FR_1238,C221112,2
OFF_FR_1238,ViewParametricSearchBrowse,2
PDT02172,home,2
PDT02172,C2260,2
PDT02172,P32871,2
PDT02172,OFF_FR_1522,2
PDT02172,ViewHeaderViewAccountIdentification,2
PDT02172,ViewUserAccountStart,2
C221111,home,4
C221111,OFF_FR_15100,4
VP17C,OFF_FR_1847,2
VP17C,OFF_FR_1522,2
VP17C,VP17C,2
C221112,C221113,2
C221112,GM220C,2
C221112,OFF_FR_1238,2
C221112,ViewParametricSearchSimpleOfferSearch,2
PDT00619,home,2
PDT00619,PDT00823,2
PDT00619,C22,2
C221214,OFF_FR_0734,2
C221214,C2240,2
C221214,OFF_FR_1105,2
C221214,C221213,2
C221214,PDT02168,2
CAD216T,CAD05A,4
PDT00672,OFF_FR_15092,2
PDT00672,CAD216T,2
PDT00678,home,2
PDT00678,OFF_FR_0996,2
PDT00678,CVPRC5U,2
PR290B,OFF_FR_0633,2
2010,OFF_FR_0633,2
2010,PDT00678,2
2010,2010,2
2010,C221215,2
C221215,C2299,2
C221215,PDT00672,2
C221215,C2211,2
PDT00841,C221311,2
OFF_FR_347,C221311,2
PDT00855,C221213,2
OFF_FR_274,C221213,2
PDT338581,C2212,2
C221213,C2212,2
C221213,OFF_FR_274,2
C2211,C221313,2
C2211,C226011,2
C2211,OFF_FR_15128,2
C2211,OFF_FR_15105,2
C2211,ViewStandardCatalogBrowse,2
C2211,cms_000090,2
C2211,C13,2
OFF_FR_1527,C2212,2
OFF_FR_1527,ViewParametricSearchSimpleOfferSearch,2
722188,C226011,2
OFF_FR_1651,OFF_FR_1108,2
OFF_FR_1651,OFF_FR_15058,2
OFF_FR_1651,C2211,2
OFF_FR_1651,OFF_FR_1091,2
OFF_FR_1651,733127,2
OFF_FR_1651,OFF_FR_1083,2
VHL16K,OFF_FR_15057,2
PDT524580,PDT00823,2
PDT524580,O1TS5TEL,2
PDT524580,OFF_FR_1091,2
PDT524580,OFF_FR_1650,2
OFF_FR_15057,C2230,2
OFF_FR_15057,VHL16K,2
OFF_FR_15057,OFF_FR_15057,2
OFF_FR_15057,ViewParametricSearchProductPaging,2
C226012,C2214,2
C226012,C226011,2
C226012,C2260,2
OFF_FR_1091,C2270,2
OFF_FR_1091,C2230,2
OFF_FR_1091,PDT524580,2
OFF_FR_1091,ViewParametricSearchSimpleOfferSearch,2
1FCB1KR,C2260,2
1FCB1KR,OFF_FR_1091,2
733127,OFF_FR_1651,2
OFF_FR_1090,OFF_FR_1536,2
733134,733525,2
733525,205214,2
