Source,Target,Traffic
C2045,PDT01513,12
C202550,C202550,17
C202510,OFF_FR_9301,12
C202520,OFF_FR_1796,15
C202520,OFF_FR_9577,15
C202520,OFF_FR_0980,19
C2025,C2012,15
OFF_FR_15009,OFF_FR_10027,12
PDT02289,C2040,12
OFF_FR_1797,C2018,12
PDT01540,C1213,12
OFF_FR_1452,C121360,12
PDT01370,C121510,12
C121115,C12,15
OFF_FR_1828,PDT01213,12
C121220,OFF_FR_0923,19
PDT02198,C1211,12
PDT02198,PMBL1C,12
PDT02198,PMBL7C,12
PDT02198,ViewStandardCatalogBrowse,12
OFF_FR_0925,C121010,12
OFF_FR_0791,C121110,12
C121610,OFF_FR_1876,23
OFF_FR_1877,ViewStandardCatalogBrowse,12
C12,C14,12
C12,C121510,12
C16,C165322,12
C16,C18,14
OFF_FR_1903,C1653,12
PDT00866,C1630,12
PDT01224,C161020,12
OFF_FR_123,OFF_FR_122,12
PDT398596,C165322,12
C165322,OFF_FR_1831,15
C165322,PDT398596,15
C165322,C165322,12
OFF_FR_438,OFF_FR_352,12
FTT5574,PDT01203,12
C163231,OFF_FR_435,12
PDT09597,C1632,12
L7160,L7160,12
PDT00893,PDT00893,12
C163210,C163220,16
PDT09594,C163230,12
C163230,PDT345586,12
C165318,OFF_FR_191,20
C1632,home,12
C1632,PDT01203,12
C1632,OFF_FR_126,12
C1632,C163260,12
PDT00443,C1653,12
PDT01988,PDT507581,12
PDT01988,C1652,12
PDT01527,7520,12
PDT01527,C165210,12
C1652,PDT02479,12
C1652,PDT400580,12
C1652,C1652,12
C1653,C165318,12
PDT398586,C1640,12
C1630,PDT00866,17
C1630,ViewStandardCatalogBrowse,12
C1640,C2120,12
C161020,PDT01224,17
C161010,OFF_FR_123,21
C9614,home,12
C176520,PDT00513,15
OFF_FR_0608,C176520,12
C171050,PDT02088,14
C1710,ViewHeaderViewAccountIdentification,12
C172010,PDT501594,20
C1740,C1765,12
PDT02527,C1735,12
C173510,PDT02470,12
C1735,C1740,12
PDT00414,C1765,12
OFF_FR_1500,OFF_FR_1499,12
OFF_FR_262,OFF_FR_262,12
EURPAL,OFF_FR_262,12
OFF_FR_439,PDT02510,12
C173820,C173820,15
C1738,PDT01899,14
C1738,OFF_FR_476,21
C1738,PDT185582,22
C17,C1776,12
cms_000023,cms_000019,12
PDT01160,C1180,12
C211010,C211020,12
OFF_FR_1781,C2110,12
C211040,OFF_FR_1781,22
C2126,C2130,12
PDT02119,C2122,12
PDT254581,C2122,12
PDT02542,C2150,12
OFF_FR_271,C215050,12
OFF_FR_1803,C215050,12
C215050,OFF_FR_271,15
C215030,PDT01076,19
C2150,PDT01156,12
C2150,C195010,12
PDT01584,C212020,12
C212080,PDT02272,12
PDT00545,PDT00545,12
OFF_FR_15087,OFF_FR_15087,12
OFF_FR_1785,C2120,12
C2125,PDT00893,12
HP301N,OFF_FR_2018,12
cms_000019,cms_000031,12
DimSearchStartBox,TGO06,12
DimSearchStartBox,CPL52,12
DimSearchStartBox,CAD50B,12
DimSearchStartBox,CAD02A,12
DimSearchStartBox,CAD08B,12
DimSearchStartBox,CAD14,12
DimSearchStartBox,CAD17A,12
DimSearchStartBox,CAS37,12
DimSearchStartBox,CAD65,12
ViewCartCheckoutClassic,ViewUserAccountStart,12
ViewCartView,cms_000147,12
ViewOrdersSimpleOrderSearch,ADP24,12
ViewOrdersSimpleOrderSearch,LUR50A,12
ViewParametricSearchProductPaging,DimSearchStartBox,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT02324,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01547,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00576,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1864,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT02502,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1582,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00308,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01648,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1610,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1573,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00189,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_387,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_317,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_10004,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00491,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1111,12
ViewParametricSearchSimpleOfferSearch?internalSearch,C1213,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1900,12
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_123,12
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT02478,12
