Source,Target,Traffic
C1120,C1150,23
C111016,PDT01648,28
CAD48,C1110,23
PDT00281,C111018,23
CAS60,DimSearchStartBox,23
C117010,OFF_FR_1033,25
C1170,OFF_FR_15043,23
PDT01535,PDT00360,23
PDT01535,PDT00361,23
C1160,home,23
C1160,C1180,23
C1160,PDT02239,23
C1160,PDT531590,23
C1150,home,23
C145010,PDT02274,26
C1450,C14,23
C1455,PDT00196,23
OFF_FR_1655,C1410,23
C1410,PDT35576,23
C1420,C1420,23
C14,C15,23
C2235,OFF_FR_0904,23
C221413,OFF_FR_1440,23
PDT02006,C2299,23
OFF_FR_484,C224011,23
C2260,PDT00638,23
OFF_FR_1526,C221211,23
OFF_FR_1652,C2211,23
OFF_FR_1523,ViewParametricSearchSimpleOfferSearch,23
OFF_FR_337,C221112,23
PDT02172,C221112,23
C221112,OFF_FR_1847,28
C2211,OFF_FR_1239,23
C2315,PDT02546,25
C2318,cms_000075,23
C2314,home,23
PDT234594,PDT499590,23
PDT160595,C2313,23
PDT00497,C2311,23
C231211,OFF_FR_1434,42
C2312,OFF_FR_1435,23
OFF_FR_1075,C2312,23
cms_000045,C1211,23
cms_000045,C1640,23
C2050,OFF_FR_1507,23
C2045,C2028,23
C1211,C1213,23
C121110,PDT176580,28
PDT01323,C1212,23
C12,C121115,31
OFF_FR_123,C1211,23
OFF_FR_346,C163231,23
C165315,PDT398592,27
C1632,OFF_FR_036,23
C165210,OFF_FR_0853,32
C165210,PDT507581,33
C1653,PDT531582,23
C1653,PDT398591,23
C1653,PDT00229,23
OFF_FR_1496,C1630,23
C1630,PDT01374,23
C1620,OFF_FR_307,23
C1640,OFF_FR_0648,23
C1640,C1630,23
C1610,OFF_FR_1244,25
OFF_FR_1853,C1720,23
OFF_FR_15064,C1738,23
OFF_FR_1500,C1738,23
C173820,ViewStandardCatalogBrowse,23
C2110,C211010,25
C2126,C21,23
C2150,C215040,23
OFF_FR_1788,C2120,23
C2120,home,23
C2120,C21,23
C2125,C2150,23
cms_000020,cms_000020,23
DimSearchStartBox,C1140,23
DimSearchStartBox,CAD27,23
DimSearchStartBox,CAS58,23
DimSearchStartBox,C1195,23
ViewCartView,C1510,23
ViewCartView,ViewParametricSearchSimpleOfferSearch,23
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00023,23
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00267,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1033,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15019,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15029,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1569,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_186,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1982,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15060,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15128,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15009,23
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01635,23
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT396581,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_345,23
ViewParametricSearchSimpleOfferSearch?internalSearch,C2120,23
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01626,23
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT02135,23
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15075,23
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00544,23
ViewParametricSearchSimpleOfferSearch?internalSearch,C195070,23
ViewStandardCatalogBrowse,C1140,23
ViewUserAccountShowRegisterClassic,ViewUserAccountProcessLogin,23
ViewUserAccountStart,ViewCostCenterStart,23
ViewUserAccountStart,ViewCustomProductHistoryStart,23
ViewUserAskCustomProductQuoteView,ViewUserAskCustomProductQuoteConfirm,23
C1860,PDT02134,23
C1840,PDT01099,23
cms_000026,cms_000030,23
cms_000147,C11,23
OFF_FR_1977,C139320,23
C131020,PDT02473,23
C13,C1340,23
C13,C13,23
cms_000006,cms_000006,23
PDT01282,C192010,23
OFF_FR_132,OFF_FR_1833,23
C192020,PDT00210,30
C192020,C192050,30
C192040,PDT00738,30
8735,PDT01294,23
C1920,C192060,23
C194070,PDT02417,27
C194045,OFF_FR_1255,30
C1960,PDT01360,25
OFF_FR_1262,C191022,23
OFF_FR_524,C191026,23
C1910,PDT01302,23
PDT01614,C1930,23
B01A1225,PDT02308,23
OFF_FR_164,C1930,23
WorldWideWeb,SD1000,22
WorldWideWeb,ADH046,22
WorldWideWeb,OFF_FR_229,22
WorldWideWeb,PDT00448,22
WorldWideWeb,C155032,22
WorldWideWeb,SCPBP,22
WorldWideWeb,RPT14,22
WorldWideWeb,PDT01406,22
WorldWideWeb,PDT01658,22
WorldWideWeb,CB434,22
WorldWideWeb,OFF_FR_15013,22
WorldWideWeb,CBBR6,22
WorldWideWeb,PDT01511,22
WorldWideWeb,PDT00351,22
WorldWideWeb,RMOV2,22
WorldWideWeb,PDT02222,22
WorldWideWeb,OFF_FR_041,22
WorldWideWeb,PLUNR5,22
WorldWideWeb,C1435,22
WorldWideWeb,OFF_FR_414,22
WorldWideWeb,240212B,22
WorldWideWeb,70786,22
WorldWideWeb,70743,22
WorldWideWeb,72501,22
WorldWideWeb,75928,22
WorldWideWeb,C202820,22
WorldWideWeb,C202840,22
WorldWideWeb,33103,22
WorldWideWeb,COTOLIN,22
WorldWideWeb,10297,22
WorldWideWeb,PMLC,22
WorldWideWeb,PPBS23,22
WorldWideWeb,OFF_FR_1900,22
WorldWideWeb,PDT01637,22
WorldWideWeb,PAF30O,22
WorldWideWeb,SHOCKETI,22
WorldWideWeb,RLT13,22
WorldWideWeb,AG618,22
WorldWideWeb,PIP812,22
WorldWideWeb,OFF_FR_433,22
WorldWideWeb,C2126,22
WorldWideWeb,AN8N,22
WorldWideWeb,C212525,22
WorldWideWeb,PDT01436,22
WorldWideWeb,SPC4064,22
WorldWideWeb,PDT01398,22
WorldWideWeb,OFF_FR_1777,22
WorldWideWeb,OFF_FR_1724,23
WorldWideWeb,B382C,22
WorldWideWeb,R32533,22
WorldWideWeb,GSE25,22
WorldWideWeb,TM15,22
WorldWideWeb,8812,22
WorldWideWeb,OFF_FR_1548,22
WorldWideWeb,C198060,22
home,C1512,22
home,OFF_FR_9881,22
home,C2315,22
home,PDT01269,22
C151031,OFF_FR_1214,22
C1510,PDT00449,22
C1510,ViewHeaderViewReference,22
PDT02320,PDT02330,22
C1530,PDT01639,41
PDT01229,C155010,22
C1550,OFF_FR_302,22
OFF_FR_1016,C1570,22
C15,C151035,26
PDT00302,PDT00572,22
C1140,C1190,22
PDT176585,C112010,22
C1120,OFF_FR_1676,22
C111016,OFF_FR_1574,24
C111018,PDT01830,35
C111010,C111010,26
C1110,OFF_FR_285,22
C1110,C111018,22
C1110,C118010,22
C1110,ViewHeaderViewReference,22
PDT00965,C118010,22
PDT00285,C118010,22
C118010,ViewStandardCatalogBrowse,22
C1180,PDT00696,22
C1170,PDT167580,24
C118520,PDT267581,43
C1160,PDT00091,22
C1160,ViewStandardCatalogBrowse,22
OFF_FR_15021,C1195,22
