Source,Target,Traffic
PDT01162,C2110,5
C211010,PDT240582,7
C211010,PDT02278,10
C211010,C2110,5
OFF_FR_1780,C211040,5
PDT01104,C2110,5
PDT01018,ViewParametricSearchSimpleOfferSearch,5
C211040,C211030,5
C211020,C211010,5
C211020,C2115,5
PDT01026,ViewParametricSearchSimpleOfferSearch,5
C211030,PDT01026,8
C2110,C11,5
C2110,PDT01449,5
C2110,OFF_FR_1779,5
C2110,PDT01026,5
C2110,PDT02359,5
C212740,OFF_FR_2009,7
C212710,OFF_FR_2013,8
C2127,C2110,5
C2127,C212710,5
C212610,PDT01442,5
C212620,PDT02487,5
C2126,C1652,5
C2126,C212640,5
C2126,OFF_FR_393,5
C2126,ViewHeaderViewAccountIdentification,5
C2126,C1940,5
PDT01068,81287,5
OFF_FR_519,C212240,5
OFF_FR_136,892271,5
C212220,C212210,7
PDT02338,C212230,5
OFF_FR_364,148109,5
PDT02361,017446,5
C212230,C212230,5
C212230,C212210,5
OFF_FR_209,C212210,5
OFF_FR_209,C2122,5
PDT01582,C212210,5
OFF_FR_518,C2122,5
PDT01451,C212225,7
PDT00359,ViewParametricSearchSimpleOfferSearch,5
C212210,OFF_FR_518,7
C212225,PDT01451,9
C2122,OFF_FR_519,5
C2122,PDT01451,5
C2122,OFF_FR_1905,5
PDT01156,C1580,5
C215040,C215040,5
C215040,OFF_FR_0968,5
OFF_FR_1782,C215050,5
PDT01890,C215030,5
PDT01076,C215030,5
C2150,PDT01181,5
5006,OFF_FR_487,5
OFF_FR_487,OFF_FR_487,5
OFF_FR_380,C2130,5
PDT02114,C2130,5
C2130,PDT01083,5
C2130,cms_000147,5
C2160,C2126,5
PDT471583,C2115,5
C211520,PDT01342,9
C211550,PDT01014,9
C211510,C2150,5
C2115,C11,5
C2115,C211520,5
C2115,PDT01014,5
OFF_FR_369,home,5
OFF_FR_369,24861600,5
OFF_FR_369,AGR010,5
OFF_FR_369,C2120,5
24861600,OFF_FR_369,5
C212090,C212090,5
PDT01048,C2120,5
C212020,C2110,5
C212020,C2122,5
PDT01181,8101933R,5
PDT01181,C212080,5
8101933R,PDT01181,5
C212080,PDT01181,5
C212080,C212010,5
PDT02514,PDT01112,5
PDT254583,C212010,5
PDT02394,C212010,5
PDT00747,PDT00747,5
PDT00747,ViewHeaderViewReference,5
PDT499605,C212010,5
PDT00499,C2120,5
C212010,C212020,5
C212010,C212080,5
C212010,ViewStandardCatalogProductPaging,5
OFF_FR_15087,C212015,5
PDT500581,C2120,5
OFF_FR_1786,ViewParametricSearchSimpleOfferSearch,5
655J,655J,5
OFF_FR_0894,C2120,5
57745E,PDT02486,5
PDT02105,PDT01441,5
PDT02482,C2126,5
PDT02482,414109,5
OFF_FR_1031,C212620,5
OFF_FR_1663,C2126,5
OFF_FR_393,PDT02361,5
C212540,OFF_FR_1790,5
C2120,C1510,5
C2120,cms_000045,5
C2120,C1652,5
C2120,C211040,5
C2120,C211030,5
C2120,PDT01149,5
C2120,PDT251581,5
C2120,PDT01048,5
C2120,cms_000147,5
C212525,C2120,5
C2125,PDT01540,5
C2125,PDT02198,5
C2125,PDT499607,5
C21,C1180,5
C21,C22,5
C21,C1632,5
C21,C212230,5
C21,C215060,5
OFF_FR_0970,ViewParametricSearchSimpleOfferSearch,5
OFF_FR_1901,C2126,5
cms_000042,cms_000147,5
cms_000019,cms_000008,5
C1960,C196060,10
DefaultStart,C1510,5
DefaultStart,C1513,5
DefaultStart,/exploitsdesportives,5
DefaultStart,C2122,5
DefaultStart,/inscriptionnewsletterraja,5
DefaultStart,cms_000006,5
DefaultStart,C19,5
DimSearchStartBag,PBAG02,5
DimSearchStartBag,PBAG04,5
DimSearchStartBag,PBAG05,5
DimSearchStartBag,PBAG06,5
DimSearchStartBag,PBAG6B,5
DimSearchStartBag,LA18,5
DimSearchStartBox,BEP230,5
DimSearchStartBox,BBA20,5
DimSearchStartBox,QB30,5
DimSearchStartBox,RPT02,5
DimSearchStartBox,RPT07,5
DimSearchStartBox,RPT17A,5
DimSearchStartBox,RPT01A,5
DimSearchStartBox,CHA80,5
DimSearchStartBox,BL13B,5
DimSearchStartBox,TGO55,5
DimSearchStartBox,TGO05,5
DimSearchStartBox,CPL35,5
DimSearchStartBox,CPL45,5
DimSearchStartBox,CPL58,5
DimSearchStartBox,CTP70,5
DimSearchStartBox,CAD59,5
DimSearchStartBox,CAD61,5
DimSearchStartBox,CAD44B,5
DimSearchStartBox,CAD48,5
