Source,Target,Traffic
PDT01190,OFF_FR_2051,4
PDT01190,ViewHeaderViewReference,4
PDT01197,PDT01197,4
PDT01197,C1530,4
PDT02219,PDT02219,4
SkuOFF_FR_2051,OFF_FR_2051,8
OFF_FR_2051,ViewHeaderViewReference,4
C151033,C151039,4
C151033,PDT00334,4
C151036,PDT00519,4
OFF_FR_0778,SkuOFF_FR_0778,4
OFF_FR_0778,ViewOrderTemplateViewAll,4
PDT361580,OFF_FR_2056,4
PDT361580,PDT523581,4
PDT361580,C151042,4
PDT361580,PDT361580,4
PDT01167,home,4
PDT01167,PDT361580,4
PDT01167,SkuPDT361580,4
PDT01167,C1437,4
C151037,C151037,4
C1510,PDT01607,4
C1510,OFF_FR_1189,4
C1510,OFF_FR_0794,4
C1510,PDT08560,4
C1510,PDT00433,4
C1510,PDT00334,4
C1510,OFF_FR_1479,4
C1510,C151320,4
C1510,C1630,4
PDT02318,PDT00336,4
PDT466582,PDT466583,4
PDT02316,C1510,4
OFF_FR_1671,ViewParametricSearchSimpleOfferSearch,4
PDT02260,OFF_FR_075,4
PDT01126,SkuPDT00977,4
PDT01126,OFF_FR_075,4
C151320,OFF_FR_469,4
C151320,PDT02328,7
C151320,PDT02322,4
C151320,OFF_FR_1484,4
C151320,cms_000045,4
C151320,PDT01456,4
C151310,C151310,4
C151330,PDT02241,4
C1513,PDT02324,4
C1513,OFF_FR_1484,4
C1513,C151320,4
C1513,C2120,4
C1513,ViewOrdersSimpleOrderSearch,4
C1513,ViewUserAccountStart,4
SkuPDT02330,PDT02330,9
PDT02330,OFF_FR_0847,4
C152030,C152040,4
C152030,C1520,4
PDT02319,C1513,4
OFF_FR_151,C152015,4
C152040,PDT00436,4
OFF_FR_1740,OFF_FR_1740,4
OFF_FR_0848,C1520,4
SkuPDT02320,PDT02330,6
PDT01212,C1520,4
C1520,PDT00337,4
C1520,C152010,4
C1520,OFF_FR_1952,4
OFF_FR_1488,C212090,4
PDT00150,C158010,7
PDT00150,ViewParametricSearchSimpleOfferSearch,4
C158010,PDT00382,4
C158010,C1580,4
OFF_FR_074,C1580,4
C1580,OFF_FR_293,4
C1580,C158010,4
C1580,C1570,4
C1525,C1510,4
OFF_FR_229,SkuOFF_FR_229,9
PDT01389,ViewParametricSearchSimpleOfferSearch,4
C1540,home,4
C1540,C1525,4
C1540,C154010,4
C1540,PDT01220,4
SkuPDT01639,SkuPDT01639,4
PDT02420,PDT01642,4
PDT02420,ViewParametricSearchSimpleOfferSearch,4
PDT01641,PDT02420,4
PDT01641,PDT01329,4
SkuPDT01642,PDT01642,4
PDT00438,PDT01385,4
PDT01385,PDT00438,4
PDT01642,ViewHeaderViewAccountIdentification,4
PDT02202,C153010,4
C153010,C153015,4
C153015,C1530,4
PDT01332,PDT01332,4
PDT01195,PDT01195,4
C1530,C1525,4
C1530,ViewStandardCatalogProductPaging,4
C1530,C1910,4
C1530,C155510,4
C1530,ViewParametricSearchSimpleOfferSearch,4
SkuOFF_FR_289,OFF_FR_289,4
SkuPDT01229,C155010,4
PDT00448,C155530,4
PDT00448,ViewParametricSearchSimpleOfferSearch,4
SkuPDT00344,PDT01267,4
C155530,PDT00023,6
C155530,C1555,4
PDT00576,C1555,4
PDT00452,C1550,4
PDT245580,C1550,4
C155020,C155010,4
PDT00575,PDT01267,4
PDT01267,SkuPDT00344,4
PDT01267,OFF_FR_1487,4
PDT01267,C1775,4
PDT00712,C1820,4
PDT02368,C1550,4
PDT01229,PDT01229,4
PDT01229,C1820,4
PDT01569,C155010,4
PDT01569,C155040,4
C155010,C155020,7
C155010,PDT01652,7
SkuPDT00265,PDT00265,4
PDT181582,C155511,4
SkuPDT02444,C155511,4
PDT02444,PDT02444,4
C155511,C155530,4
C155511,PDT181582,7
PDT01227,C1555,4
C1550,C1530,4
C1550,C155020,4
C1550,C1710,4
OFF_FR_1865,OFF_FR_1864,4
PDT01240,C157030,4
OFF_FR_382,home,6
PDT390581,OFF_FR_382,4
PDT390581,SkuPDT390581,9
OFF_FR_202,SkuOFF_FR_202,4
PDT01555,C157030,4
SkuPDT01555,OFF_FR_202,4
C157030,C157010,4
SkuPDT263583,PDT263584,4
PDT263580,C1570,4
PDT02507,C1570,4
OFF_FR_1015,home,4
PDT01967,C2313,4
PDT263584,C1630,4
C157010,PDT263582,4
C157010,PDT263580,4
C157010,C157010,4
C157010,C157035,4
C157035,PDT02225,7
SkuPDT01966,SkuPDT01966,4
SkuOFF_FR_405,C157020,4
PDT02235,ViewParametricSearchSimpleOfferSearch,4
PDT01237,PDT01237,4
PDT01966,PDT01966,4
PDT02234,PDT01966,4
PDT02234,PDT02234,4
OFF_FR_405,OFF_FR_405,6
PDT00168,PDT00344,4
PDT00990,C1570,4
C157020,C157030,4
C157020,C1570,6
C1570,C1515,4
C1570,OFF_FR_1742,4
C1570,C157035,4
C1570,C1450,4
C155520,PDT01227,8
C155520,C155510,4
C155520,C1555,6
C155040,PDT00750,6
OFF_FR_1682,PDT34575,4
C156040,C1560,4
PDT00203,C182030,4
C1560,C159510,4
C1560,C1520,4
C1560,C1580,4
C1560,C156040,4
PDT523583,ViewParametricSearchSimpleOfferSearch,4
C1555,PDT01231,4
C1555,OFF_FR_130,4
C15,C151041,4
C15,C1210,4
C15,C1640,4
C15,C18,4
C15,cms_000147,4
C15,C2120,6
cms_000085,home,4
cms_000046,home,4
PDT00427,C114030,4
SkuOFF_FR_227,OFF_FR_227,4
PDT00461,home,4
PDT00461,PDT02502,4
PDT00461,SkuPDT00461,6
PDT00459,ViewStandardCatalogBrowse,4
PDT02502,PDT00459,4
PDT02502,PDT00463,4
PDT02502,SkuOFF_FR_373,4
PDT02502,ViewParametricSearchSimpleOfferSearch,4
PDT00460,PDT00461,4
PDT00460,C1140,4
OFF_FR_227,OFF_FR_1193,4
PDT00463,PDT02502,4
PDT00463,PDT116584,4
PDT00462,C1140,4
C114030,PDT00462,4
C114030,C114030,4
C114030,C114010,4
C114030,C1140,4
C114015,C114030,4
C114015,OFF_FR_1654,4
SkuPDT00572,C11,4
SkuPDT00457,PDT00457,9
OFF_FR_1615,OFF_FR_1450,4
OFF_FR_1615,OFF_FR_0950,4
OFF_FR_1615,cms_000045,4
SkuOFF_FR_1615,PDT00572,4
SkuOFF_FR_1615,C1140,4
SkuOFF_FR_1615,C11,4
SkuOFF_FR_1615,SkuOFF_FR_1615,4
SkuPDT00302,home,14
SkuPDT00302,SkuPDT00222,4
SkuPDT00426,PDT00426,13
PDT01466,ViewParametricSearchSimpleOfferSearch,4
PDT00572,PDT00457,4
PDT01193,PDT00302,4
PDT00457,SkuPDT00457,6
PDT00457,PDT00458,4
PDT00457,PDT00457,4
OFF_FR_296,C159510,4
OFF_FR_296,C1195,4
OFF_FR_296,C1437,4
OFF_FR_296,C9917,4
OFF_FR_296,OFF_FR_008,4
OFF_FR_296,ViewStandardCatalogBrowse,4
OFF_FR_296,cms_000147,4
OFF_FR_297,C1195,4
OFF_FR_297,C1213,4
OFF_FR_297,ViewOrdersSimpleOrderSearch,4
OFF_FR_1450,OFF_FR_297,4
OFF_FR_1450,PDT12578,4
PDT00302,ViewParametricSearchSimpleOfferSearch,4
PDT00302,C1310,4
SkuOFF_FR_296,DimSearchStartBox,12
SkuOFF_FR_296,SkuOFF_FR_296,26
SkuOFF_FR_296,ViewParametricSearchBrowse,4
SkuOFF_FR_297,home,14
SkuOFF_FR_297,SkuOFF_FR_296,4
C114010,PDT00458,6
C114010,C1195,4
OFF_FR_1591,C115020,4
OFF_FR_1570,SkuOFF_FR_297,7
PDT00421,PDT00421,4
PDT00421,C114040,4
C114040,C1140,4
PDT01537,SkuPDT01537,6
PDT01537,ViewParametricSearchSimpleOfferSearch,4
C114011,OFF_FR_0775,4
C114011,PDT01882,4
C114011,C1140,4
C114011,ViewStandardCatalogBrowse,4
PDT00307,C121610,4
OFF_FR_1177,SkuOFF_FR_1177,6
SkuPDT00473,PDT00473,6
SkuPDT00231,PDT00231,6
PDT00473,OFF_FR_1877,4
PDT00472,C121620,4
PDT00472,C12,4
PDT00472,ViewOrdersSimpleOrderSearch,4
PDT01192,PDT00308,4
PDT01192,ViewStandardCatalogBrowse,4
PDT00308,SkuPDT00308,18
PDT00308,C1120,4
PDT00308,ViewOrderTemplateViewAll,4
C1140,PDT00583,4
C1140,OFF_FR_1654,4
C1140,C1440,4
C1140,ViewCartView,4
C1140,C1320,4
PDT00274,PDT00274,4
PDT00274,PDT00278,4
SkuPDT00278,PDT00278,4
SkuPDT00277,C11,4
PDT01532,home,4
PDT00277,PDT00278,4
C112020,OFF_FR_1675,6
C112020,C112012,4
C112015,C112012,4
C112015,C1120,4
C112015,C11,4
C112027,C1120,4
C112027,OFF_FR_1262,4
OFF_FR_1566,OFF_FR_1566,4
OFF_FR_1566,ViewStandardCatalogBrowse,4
OFF_FR_1571,SkuOFF_FR_116,8
PDT01531,C1140,4
PDT01531,SkuPDT116585,4
PDT01531,ViewUserAccountStart,4
PDT01833,PDT01833,4
PDT01833,PDT177580,4
PDT01833,SkuPDT01833,21
PDT176585,home,4
PDT176585,PDT177580,4
PDT176585,C1110,4
PDT177580,PDT116585,4
PDT177580,ViewHeaderViewAccountIdentification,4
PDT177580,ViewStandardCatalogBrowse,4
SkuPDT116585,PDT116585,12
SkuPDT116585,SkuPDT116585,4
SkuPDT116585,C1120,4
SkuPDT01833,DimSearchStartBox,4
SkuPDT176585,C1120,7
SkuPDT176585,DimSearchStartBox,9
SkuPDT00247,DimSearchStartBox,8
C112010,C112025,4
PDT12578,C11,4
PDT12578,ViewUserAccountStart,4
SkuPDT12578,C1110,8
OFF_FR_1609,PDT12578,4
PDT00186,SkuPDT00186,10
OFF_FR_1588,C1110,4
SkuOFF_FR_1572,OFF_FR_113,8
SkuPDT00291,OFF_FR_116,11
PDT00291,home,4
PDT00291,C1455,4
PDT00338,OFF_FR_1193,4
C112012,C1195,4
C1120,C112027,4
C1120,OFF_FR_1588,4
C1120,C111014,4
C1120,SkuPDT00285,4
C1120,SkuPDT02239,4
C1120,PDT01529,4
C1120,ViewParametricSearchSimpleOfferSearch,4
PDT00341,PDT00341,4
PDT00340,ViewHeaderViewAccountIdentification,4
SkuPDT00465,DimSearchStartBox,4
OFF_FR_1033,OFF_FR_1180,4
OFF_FR_0726,C1190,4
PDT00283,C119020,4
OFF_FR_285,C1920,4
C1190,C119010,4
C111022,C11,4
C111016,C111016,4
C111016,C111012,4
OFF_FR_1594,C1120,4
OFF_FR_1594,OFF_FR_115,4
OFF_FR_1594,ViewHeaderViewAccountIdentification,4
PDT00255,SkuPDT00255,11
OFF_FR_15085,ViewStandardCatalogBrowse,4
PDT01658,SkuPDT01658,10
PDT01658,C1110,4
OFF_FR_116,SkuPDT177580,4
OFF_FR_116,C1120,4
OFF_FR_116,C1420,4
OFF_FR_413,C1510,4
OFF_FR_413,C1195,4
OFF_FR_413,PDT01529,4
OFF_FR_413,C11,4
OFF_FR_413,ViewParametricSearchSimpleOfferSearch,6
OFF_FR_413,OFF_FR_413,6
OFF_FR_114,C1120,4
OFF_FR_114,SkuPDT01658,4
OFF_FR_114,SkuOFF_FR_1579,4
OFF_FR_114,C1430,4
SkuOFF_FR_15086,OFF_FR_116,4
SkuOFF_FR_115,C11,8
SkuOFF_FR_115,SkuOFF_FR_115,27
SkuOFF_FR_115,ViewHeaderViewAccountIdentification,4
SkuOFF_FR_15085,DimSearchStartBox,18
SkuOFF_FR_15085,C111012,6
SkuOFF_FR_114,SkuOFF_FR_114,69
SkuOFF_FR_114,OFF_FR_15026,4
SkuOFF_FR_114,OFF_FR_15023,4
SkuOFF_FR_114,ViewHeaderViewReference,8
SkuOFF_FR_116,OFF_FR_1571,10
SkuPDT01658,C1180,4
SkuPDT01658,DimSearchStartBox,6
C111012,C1195,4
PDT01831,home,4
PDT00281,ViewParametricSearchSimpleOfferSearch,4
SkuPDT00282,PDT00282,9
PDT01830,SkuPDT01830,10
PDT00282,PDT00277,4
PDT00282,SkuPDT00282,10
PDT00282,PDT01830,4
C111018,C111018,4
PDT01648,C159510,4
PDT01648,ViewParametricSearchSimpleOfferSearch,4
OFF_FR_412,ViewHeaderViewReference,4
SkuOFF_FR_412,SkuOFF_FR_412,24
OFF_FR_1676,OFF_FR_15081,4
OFF_FR_1676,C11,4
OFF_FR_1676,ViewOrdersSimpleOrderSearch,4
OFF_FR_408,C1530,4
OFF_FR_408,OFF_FR_1676,4
OFF_FR_408,OFF_FR_411,4
OFF_FR_113,C1210,4
OFF_FR_15083,C1110,4
OFF_FR_15084,OFF_FR_1557,4
OFF_FR_15084,C11,4
OFF_FR_15084,ViewParametricSearchProductPaging,4
OFF_FR_15081,home,4
OFF_FR_411,C1120,4
OFF_FR_411,ViewHeaderViewReference,4
OFF_FR_15082,OFF_FR_15082,4
OFF_FR_15082,SkuOFF_FR_15082,12
SkuOFF_FR_1572,home,10
SkuPDT01648,PDT01648,12
SkuOFF_FR_408,SkuOFF_FR_15081,14
SkuOFF_FR_411,ViewOrdersSimpleOrderSearch,4
SkuOFF_FR_411,SkuOFF_FR_412,8
SkuOFF_FR_15083,OFF_FR_15083,7
SkuOFF_FR_15084,SkuOFF_FR_15084,6
SkuOFF_FR_15084,DimSearchStartBox,17
C111010,home,4
C111010,C111016,4
PDT00335,ViewParametricSearchSimpleOfferSearch,4
PDT01261,SkuPDT01261,8
PDT00309,C116010,4
SkuPDT00335,DimSearchStartBox,16
SkuPDT01261,DimSearchStartBox,8
SkuPDT00335,PDT00335,26
C111014,home,4
C111014,C111016,4
C111020,C1160,4
C1110,SkuOFF_FR_116,8
C1110,SkuOFF_FR_15081,8
C1110,C1437,4
C1110,C1216,4
C1110,C1710,4
C1110,ViewCartView,4
C1110,ViewParametricSearchSimpleOfferSearch,4
C118020,C118010,4
PDT00696,SkuPDT00696,7
PDT00696,OFF_FR_1579,4
PDT00696,OFF_FR_1555,4
SkuOFF_FR_1579,OFF_FR_114,4
SkuPDT00696,SkuPDT00696,6
PDT00285,home,4
PDT00285,PDT00285,4
PDT00285,PDT01589,4
OFF_FR_1579,PDT00696,4
OFF_FR_1579,PDT00965,4
OFF_FR_1555,OFF_FR_1555,4
OFF_FR_1555,C1195,4
PDT02377,home,4
PDT02377,OFF_FR_15073,4
PDT02377,C11,4
PDT02377,C1510,4
C118010,C1190,4
C118010,C1160,4
C118010,C1150,4
C118030,PDT240582,4
C117010,OFF_FR_1576,4
C1170,C1190,4
C1170,DimSearchStartBox,4
C1170,ViewHeaderViewAccountIdentification,4
SkuPDT01266,PDT01266,4
SkuPDT01266,C1160,4
OFF_FR_0774,PDT01266,4
SkuOFF_FR_0774,C11,4
