Source,Target,Traffic
C157020,OFF_FR_405,19
C1570,OFF_FR_1015,15
C15,C151037,17
PDT00463,C1140,15
C114015,OFF_FR_227,15
C114015,C114011,15
PDT00426,PDT00302,17
C1140,PDT116584,15
C1140,C2314,15
C1140,C12,15
PDT12578,C1120,15
PDT12578,ViewStandardCatalogBrowse,15
SkuOFF_FR_1033,OFF_FR_1033,35
OFF_FR_1033,C117010,15
PDT01658,C1120,15
SkuOFF_FR_115,DimSearchStartBox,82
C1110,PDT01835,15
C1110,C1410,15
C1110,cms_000147,15
OFF_FR_1576,C1170,15
C117010,PDT00340,15
C1170,cms_000085,19
C1170,PDT417580,15
C118520,PDT267580,24
PDT01534,C116050,15
C1195,C1160,15
C1195,C119510,15
C1195,OFF_FR_15022,15
C1195,OFF_FR_15027,15
C1150,OFF_FR_1577,15
OFF_FR_1968,C1170,15
C11,C1510,15
C11,C1210,15
C11,cms_000075,15
PDT356580,C1840,15
OFF_FR_409,OFF_FR_409,15
PDT01562,C143010,15
PDT01562,ViewParametricSearchSimpleOfferSearch,15
SkuPDT01317,SkuPDT01317,24
PDT02274,C145010,15
PDT01317,ViewParametricSearchSimpleOfferSearch,15
PDT00366,C1455,15
OFF_FR_434,OFF_FR_414,15
OFF_FR_414,OFF_FR_434,15
C141020,C141010,15
C1410,PDT00248,15
PDT639598,C1420,15
C1420,C1450,15
cms_000032,cms_000042,15
C2235,OFF_FR_1127,15
C9925,cms_000054,15
C9922,PDT02460,15
OFF_FR_1439,C221413,15
C221413,OFF_FR_1444,18
PDT00818,C2270,15
OFF_FR_1870,C221313,15
C2270,PDT00639,15
C2270,PDT00823,15
OFF_FR_15060,C2299,15
OFF_FR_15125,C2299,15
C2299,C2230,15
C223012,OFF_FR_244,29
OFF_FR_281,C223013,15
C2230,C2235,15
C2255,PDT267586,15
OFF_FR_10135,C227520,15
C227520,C227520,17
C2260,PDT02005,15
C2260,OFF_FR_15057,15
OFF_FR_1776,C223012,15
OFF_FR_1776,C2230,15
OFF_FR_1851,C2230,15
OFF_FR_1092,C221211,15
SkuPDT02008,PDT02008,29
C221113,OFF_FR_15058,19
OFF_FR_1652,OFF_FR_282,15
SkuOFF_FR_1652,OFF_FR_1652,50
OFF_FR_0900,C221111,15
OFF_FR_1522,C2211,15
C2211,C2212,15
C2211,OFF_FR_15104,15
C2211,OFF_FR_0633,15
C2211,C22,15
OFF_FR_1650,C2213,15
C2318,OFF_FR_071,15
OFF_FR_025,C2311,15
C2314,C11,15
C2314,C2318,15
C2314,OFF_FR_1699,15
C2314,C2316,15
C2311,C231113,15
C231112,OFF_FR_063,21
C231311,PDT00105,15
SkuOFF_FR_1821,OFF_FR_1821,33
OFF_FR_156,ViewParametricSearchSimpleOfferSearch,15
PDT02536,SkuPDT02536,15
PDT02536,PDT02536,15
PDT00488,C2318,15
OFF_FR_1200,C2312,15
OFF_FR_1435,C2230,15
C2313,PDT00821,15
C23,C22,15
cms_000045,C11,15
cms_000045,C14,15
OFF_FR_15002,C205050,15
OFF_FR_421,C205010,15
C2050,home,18
C2050,OFF_FR_501,15
C201210,OFF_FR_317,15
PDT01378,C201010,15
C2010,PDT00156,15
C2010,PDT01117,15
OFF_FR_317,C201210,15
C2018,C201810,15
C2018,C20,15
C204550,OFF_FR_9479,15
C2045,C204550,15
C202520,OFF_FR_0885,18
C2025,C2018,15
C20,C2032,15
OFF_FR_1689,C205030,15
C1211,C1140,15
C1211,PDT00668,15
C1213,OFF_FR_1465,15
C121330,PDT00173,19
C121330,PDT01173,18
C121520,PDT176583,22
C121210,PDT01366,22
C121210,OFF_FR_1828,20
C1212,C1140,15
C121010,C1210,17
PDT09582,PDT09582,19
C121030,PDT09582,15
C1210,C1140,15
C1210,C121030,15
C1216,C1120,18
C1215,C121520,15
C16,C165210,17
OFF_FR_1904,C1653,15
PDT531582,C165321,15
SkuOFF_FR_014,PDT398588,26
OFF_FR_306,OFF_FR_306,17
OFF_FR_126,C163210,15
OFF_FR_141,ViewParametricSearchSimpleOfferSearch,15
PDT00899,C1632,15
OFF_FR_523,C1653,15
C1632,PDT00899,15
PDT02481,C1652,15
C1652,PDT01988,15
C165321,PDT531582,19
C165325,PDT00229,25
C1630,PDT263583,15
C1620,OFF_FR_305,15
OFF_FR_1719,C1620,15
C1640,home,15
C1640,C1620,15
C1610,C161010,19
C1775,PDT00712,15
OFF_FR_1855,C1720,15
PDT176586,home,15
PDT05595,C1710,15
C1710,C1720,15
PDT480580,C1880,15
PDT02369,C176520,15
SkuPDT02510,C173820,15
OFF_FR_439,PDT02506,15
C173830,OFF_FR_1237,26
C17,C17,17
PDT01204,C2110,15
PDT01162,C211010,15
C211020,C211030,15
PDT02207,ViewParametricSearchSimpleOfferSearch,15
C2127,OFF_FR_2013,15
C2127,ViewParametricSearchSimpleOfferSearch,17
PDT221581,C215010,15
C215010,PDT221583,21
C2130,C2126,15
C2160,OFF_FR_191,15
C2115,PDT01114,15
PDT01115,C2115,15
PDT01112,C2115,15
C212010,PDT00499,18
C2120,OFF_FR_0615,15
C2120,ViewStandardCatalogBrowse,15
C21,ViewParametricSearchSimpleOfferSearch,17
SkuOFF_FR_2018,SkuOFF_FR_2018,15
DimSearchStartBox,SkuOFF_FR_297,207
DimSearchStartBox,SkuOFF_FR_15085,61
DimSearchStartBox,SkuOFF_FR_15082,67
DimSearchStartBox,SkuOFF_FR_113,98
ViewCheckoutPaymentDispatch,ViewOrdersSimpleOrderSearch,15
ViewCreditCardsListAll,ViewCostCenterStart,15
ViewOrdersSimpleOrderSearch,C1513,15
ViewOrdersSimpleOrderSearch,C1140,15
ViewOrdersSimpleOrderSearch,cms_000039,15
ViewOrdersSimpleOrderSearch,cms_000006,15
ViewParametricSearchSimpleOfferSearch?internalSearch,C159510,15
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00461,15
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_0726,15
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01830,15
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT531587,15
