Source,Target,Traffic
C1990,C1652,2
C1990,C1653,2
C1990,C1710,2
C1990,C2115,2
C1990,cms_000075,2
C1990,C1960,2
C1990,C1985,2
C1990,C199030,2
C1990,OFF_FR_1890,2
C1990,OFF_FR_1518,2
C1990,C199020,2
C1990,PDT00006,2
OFF_FR_1006,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1006,C1880,2
OFF_FR_1006,OFF_FR_1007,2
OFF_FR_1006,OFF_FR_1008,2
OFF_FR_1006,OFF_FR_144,2
C197050,C1970,2
OFF_FR_0997,ViewDataStart,2
OFF_FR_0997,C1970,2
OFF_FR_0997,C197040,2
PERCAP1,PDT02412,2
OFF_FR_0993,C1970,2
OFF_FR_0993,C197040,2
SPA3BL,PDT01911,2
PDT528582,C197050,2
PDT528582,PDT02065,2
C1970,C2018,2
C1970,C2120,2
C1970,ViewHeaderViewAccountIdentification,2
C1970,C1950,2
C1970,C1910,2
C1970,OFF_FR_0993,2
C1970,PDT01911,2
C1970,PDT234589,2
C1970,C19,2
PDT01911,C197040,2
PDT393582,C197040,2
OPTIME2,C197040,2
PDT00934,PDT02412,2
PDT00934,C1970,2
1015370,PDT02065,2
PDT234590,C1970,2
PDT00180,C1970,2
FUSION,OFF_FR_0997,2
PDT01918,PDT01918,2
PDT02443,5935,2
501,PDT01925,2
1001587,PDT00006,2
PDT01923,C1985,2
PDT01923,C198520,2
PDT01923,1001587,2
PDT01923,VALUAIR,2
OFF_FR_295,1005586,2
PDT02442,9332,2
OFF_FR_1708,C198510,2
OFF_FR_1708,OFF_FR_1076,2
OFF_FR_1708,OFF_FR_1510,2
1005586,ViewOrdersSimpleOrderSearch,2
OFF_FR_462,ViewParametricSearchSimpleOfferSearch,2
C197040,OFF_FR_0993,2
C197040,PDT01911,2
C197040,PDT01915,2
OFF_FR_1957,C193030,2
RD258,OFF_FR_1942,2
RD278,OFF_FR_1942,2
OFF_FR_1959,OFF_FR_1958,2
OFF_FR_1958,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1942,RD258,2
OFF_FR_1942,RD278,2
OFF_FR_1942,OFF_FR_1942,2
C193070,C1920,2
C193070,OFF_FR_1729,2
C193070,C193030,2
OFF_FR_1730,C1930,2
OFF_FR_1729,C193070,2
OFF_FR_1431,OFF_FR_1431,2
OFF_FR_1431,PP39231200,2
OFF_FR_1431,PP39231210,2
OFF_FR_1431,PP392390,2
OFF_FR_1431,PDT01617,2
PP392310,C193060,2
PP392310,PDT01617,2
PP392330,PP392330,2
PP392330,OFF_FR_1432,2
OFF_FR_1432,home,2
OFF_FR_1432,PP39231000,2
PP39231000,OFF_FR_1432,2
C193050,C19,2
PDT01929,OFF_FR_195,2
PDT01929,PDT02308,2
PDT01929,OFF_FR_164,2
PDT01330,OFF_FR_1834,2
PDT01330,C1920,2
PDT01330,PDT00907,2
PDT00905,C192042,2
PDT00905,PDT00905,2
C193040,C193010,2
C193060,C1940,2
C193060,C193050,2
C193060,C193010,2
C193060,C193020,2
C193060,C1930,2
C193060,C19,2
PDT01615,C193020,2
OFF_FR_196,cms_000049,2
OFF_FR_196,OFF_FR_404,2
PDT01614,ViewParametricSearchSimpleOfferSearch,2
PDT01614,cms_000147,2
PDT01614,cms_000049,2
PDT01614,PDT01697,2
PDT01614,PDT01616,2
PDT01697,ViewHeaderViewAccountIdentification,2
PDT01697,PDT01614,2
PDT01697,OFF_FR_195,2
PDT01697,PDT01617,2
77501,PDT01614,2
192167,FED19N,2
192167,192167,2
193138,OFF_FR_195,2
193233,home,2
193233,PDT01929,2
193233,OFF_FR_195,2
193233,C193010,2
PDT01699,PDT01614,2
PDT01699,PDT01699,2
23412,33460,2
OFF_FR_034,PDT01929,2
OFF_FR_034,PDT01697,2
OFF_FR_034,20312,2
OFF_FR_034,OFF_FR_195,2
OFF_FR_034,32976,2
OFF_FR_195,PDT01697,2
OFF_FR_195,192265,2
OFF_FR_195,193138,2
OFF_FR_195,193233,2
OFF_FR_195,OFF_FR_195,2
OFF_FR_195,OFF_FR_148,2
PDT01616,C193020,2
C193030,OFF_FR_1958,2
C193030,C193010,2
OFF_FR_1733,AT60A2,2
OFF_FR_1733,OFF_FR_164,2
OFF_FR_1733,C1930,2
AT10G9,OFF_FR_1733,2
AT520,AT520,2
AT522,OFF_FR_1733,2
AT60A2,home,2
AT60A2,C1930,2
OFF_FR_1552,PDT01698,2
33502,20210,2
OFF_FR_1811,OFF_FR_1431,2
4999S,RPL1208,2
OFF_FR_153,home,2
OFF_FR_153,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_153,PDT01929,2
OFF_FR_153,PDT01697,2
OFF_FR_153,OFF_FR_155,2
OFF_FR_153,00213,2
OFF_FR_155,home,2
OFF_FR_155,PDT01697,2
OFF_FR_155,PDT01618,2
OFF_FR_148,ViewParametricSearchSimpleOfferSearch,2
20185S,OFF_FR_1732,2
OFF_FR_404,cms_000147,2
OFF_FR_404,C1920,2
OFF_FR_404,OFF_FR_155,2
OFF_FR_404,33410,2
OFF_FR_404,B01A1225,2
OFF_FR_404,OFF_FR_164,2
PDT01496,ViewHeaderViewReference,2
20210,ViewParametricSearchSimpleOfferSearch,2
20210,OFF_FR_404,2
32410,OFF_FR_404,2
32936,OFF_FR_404,2
32984,5180044,2
32986,ViewDataStart,2
33410,OFF_FR_404,2
00213,OFF_FR_153,2
00917,08007,2
C193010,ViewStandardCatalogProductPaging,2
C193010,OFF_FR_196,2
PDT01619,cms_000049,2
PDT01619,00120,2
PDT01619,PDT01617,2
00120,PDT01619,2
PDT01618,PDT01619,2
PDT01618,PDT01507,2
PDT02308,ViewHeaderViewAccountIdentification,2
B01A1200,PDT02308,2
B01A1225,ViewParametricSearchSimpleOfferSearch,2
B01A1225,OFF_FR_155,2
B01A1225,OFF_FR_404,2
B01A1225,PDT01507,2
B01A1225,PDT02311,2
B01A1225,PDT01698,2
B03C1110,ViewParametricSearchSimpleOfferSearch,2
B03C1110,C19,2
B03C1250,B03C1250,2
B03C1160,ViewParametricSearchSimpleOfferSearch,2
B03C1160,OFF_FR_1548,2
OFF_FR_1548,B03C1110,2
OFF_FR_1548,C1930,2
PDT01507,PDT01617,2
PDT02311,A0401102,2
PDT02311,PDT02308,2
PDT02311,PDT01698,2
OFF_FR_164,PDT01929,2
OFF_FR_164,PDT02308,2
OFF_FR_164,PDT02309,2
B22804A2D,OFF_FR_164,2
00098,PDT01617,2
00098,00100,2
PDT01617,ViewParametricSearchSimpleOfferSearch,2
PDT01617,PP392310,2
PDT01617,PDT01697,2
PDT01617,OFF_FR_1811,2
PDT01617,PDT01619,2
PDT01617,PDT01618,2
PDT01617,PDT01507,2
PDT02309,PDT02308,2
PDT02309,C1930,2
PDT01698,OFF_FR_1548,2
PDT01698,OFF_FR_164,2
C193020,C1920,2
C193020,C1940,2
C193020,PDT01615,2
C193020,PDT01616,2
C1930,C159510,2
C1930,C1190,2
C1930,C1110,2
C1930,C2314,2
C1930,SPB45BL,2
C1930,C23,2
C1930,C2018,2
C1930,C1653,2
C1930,C1640,2
C1930,C173830,2
C1930,C1738,2
C1930,cms_000019,2
C1930,ViewHeaderViewReference,2
C1930,ViewUserAccountShowRegisterClassic,2
C1930,C1320,2
C1930,RBAC20,2
C1930,OFF_FR_1624,2
C1930,OFF_FR_1730,2
C1930,PDT01616,2
C1930,20410,2
C1930,B01A1225,2
C1930,PDT02311,2
C1930,PDT02309,2
C1930,C1980,2
PR5145,762156B,2
PDT395591,C11,2
PDT395591,PDT395588,2
PDT395591,PDT00537,2
PDT395591,PDT00907,2
PDT395591,PDT01697,2
OFF_FR_9571,C1980,2
OFF_FR_1889,C198010,2
OFF_FR_9658,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_9658,OFF_FR_1888,2
OFF_FR_9703,C1980,2
C198070,C198070,2
C198070,C198060,2
55616,OFF_FR_467,2
OFF_FR_9760,C198060,2
OFF_FR_9760,C1980,2
OFF_FR_9569,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_9569,C198060,2
OFF_FR_9569,C1980,2
OFF_FR_9573,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1211,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1212,C1980,2
OFF_FR_1231,C1980,2
OFF_FR_0998,OFF_FR_0998,2
OFF_FR_0882,BM203,2
BM203,ViewParametricSearchSimpleOfferSearch,2
BM203,PDT02085,2
PDT02085,C1980,2
C198040,ViewStandardCatalogBrowse,2
C198040,PDT02085,2
C198040,C198030,2
OFF_FR_0881,C1980,2
2357L,OFF_FR_0881,2
C198050,C198030,2
OFF_FR_467,ViewHeaderViewReference,2
OFF_FR_467,C1980,2
OFF_FR_110,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1514,OFF_FR_1514,2
OFF_FR_1510,OFF_FR_1708,2
C198020,OFF_FR_1211,2
C198020,C198060,2
C198020,C198030,2
C198020,OFF_FR_1994,2
C198060,C198070,2
C198060,OFF_FR_9569,2
C198060,C198050,2
C198060,OFF_FR_1511,2
C198060,C1980,2
PDT00920,C198030,4
PDT234586,C198030,2
PDT234586,PDT00424,2
PDT00424,PDT01519,2
PDT00424,C1980,2
PDT01519,PDT234586,2
PDT01519,PDT00424,2
VT4233,VT4233,2
C198030,C1985,2
C198030,C198040,2
C198030,C198060,2
PDT00926,DMPANL,2
C198010,PDT01519,2
C1980,C20,2
C1980,ViewHeaderViewReference,2
C1980,OFF_FR_15066,2
C1980,PDT01909,2
C1980,OFF_FR_15069,2
C1980,OFF_FR_9703,2
C1980,OFF_FR_9760,2
C1980,OFF_FR_1231,2
C1980,PDT02085,2
C1980,PDT89578,2
C1980,OFF_FR_110,2
C1980,C198060,2
C1980,PDT00920,2
C1980,C198030,2
PDT00693,home,2
PDT00693,ViewParametricSearchSimpleOfferSearch,2
PDT00693,CC3100,2
PDT00693,CC3500,2
PDT00693,C198060,2
C19,C159510,2
C19,C1160,2
C19,C23,2
C19,C2050,2
C19,C2018,2
C19,C1653,2
C19,C1738,2
C19,C139340,2
C19,PDT01272,2
C19,CBOX1,2
C19,C192042,2
C19,C194050,2
C19,C195060,2
C19,C197050,2
C19,C193050,2
C19,B03C1110,2
/ubereats/sackraftpoigneesplates70grm2impressionubereats_OFF_FSSACS_UBER,/ubereats/sackraftpoigneesplates70grm2impressionubereats_OFF_FSSACS_UBER,2
Search,/ubereats/sackraftpoigneesplates70grm2impressionubereats_OFF_FSSACS_UBER.html?internalSearch,2
/ubereats/sackraftpoigneesplates70grm2impressionubereats_OFF_FSSACS_UBER.html?internalSearch,C2230,2
FSPLIUBER26,ViewProductStart,2
cms_000125,cms_000031,2
cms_000125,ViewHeaderViewAccountIdentification,2
cms_000125,ViewUserAccountShowRegisterClassic,2
cms_000125,cms_000138,2
WorldWideWeb,C9605,1
WorldWideWeb,C9986,1
WorldWideWeb,/Adh�sifs,1
WorldWideWeb,CRIS193,1
WorldWideWeb,CRIS196,1
WorldWideWeb,AT03,1
WorldWideWeb,OFF_FR_077,1
WorldWideWeb,PDT01664,1
WorldWideWeb,820,1
WorldWideWeb,AD20BK,1
WorldWideWeb,96912,1
WorldWideWeb,OFF_FR_410,1
WorldWideWeb,924EU19,1
WorldWideWeb,4032P19X19B,1
WorldWideWeb,4656F25X12,1
WorldWideWeb,PDT01217,1
WorldWideWeb,4952L19,1
WorldWideWeb,OFF_FR_1012,1
WorldWideWeb,PDT00236,1
WorldWideWeb,PDT01970,1
WorldWideWeb,ADFNT12,1
WorldWideWeb,ADFNT9,1
WorldWideWeb,ADFA25,1
WorldWideWeb,4959L25,1
WorldWideWeb,4970L25,1
WorldWideWeb,SD5000,1
WorldWideWeb,OFF_FR_1484,1
WorldWideWeb,VEL60704,1
WorldWideWeb,OFF_FR_1059,1
WorldWideWeb,OFF_FR_1191,1
WorldWideWeb,ADG12FR,1
WorldWideWeb,ADP75BG,1
WorldWideWeb,ADKR75,1
WorldWideWeb,375ETRA100,1
WorldWideWeb,PDT01163,1
WorldWideWeb,OFF_FR_1181,1
WorldWideWeb,OFF_FR_0794,1
WorldWideWeb,C151040,1
WorldWideWeb,ADPC350HMC,1
WorldWideWeb,AT50GREEN6,1
WorldWideWeb,ADR5MC,1
WorldWideWeb,ADP79,1
WorldWideWeb,ADP82,1
WorldWideWeb,PDT348581,1
WorldWideWeb,ADH17,1
WorldWideWeb,ADH15,1
WorldWideWeb,ADP71,1
WorldWideWeb,ADPC351BLA,1
WorldWideWeb,371TRA,1
WorldWideWeb,371HAV66,1
WorldWideWeb,371TRA66,1
WorldWideWeb,ADT05N,1
WorldWideWeb,ADPC375TRA,1
WorldWideWeb,3739HAV,1
WorldWideWeb,3739HAV75,1
WorldWideWeb,3739TRA132,1
WorldWideWeb,375ETRA,1
WorldWideWeb,OFF_FR_1768,1
WorldWideWeb,PDT00433,1
WorldWideWeb,4089TRA100,1
WorldWideWeb,ADP26,1
WorldWideWeb,AT50TRA,1
WorldWideWeb,4024HAV100,1
WorldWideWeb,313HAV,1
WorldWideWeb,MA371TRA1,1
WorldWideWeb,MA3739TRA,1
WorldWideWeb,ADH29B,1
WorldWideWeb,ADH12,1
WorldWideWeb,PDT00334,1
WorldWideWeb,ADH12KD,1
WorldWideWeb,V50TRA,1
