Source,Target,Traffic
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01025,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_213,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00865,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01211,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT547580,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1830,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00325,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_0000,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00523,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_107,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1185,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15053,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01282,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00685,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_0650,8
ViewParametricSearchSimpleOfferSearch?internalSearch,C192020,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01294,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT241581,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1734,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00399,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01725,8
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT10575,8
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_0928,8
ViewStandardCatalogBrowse,PDT00473,8
ViewStandardCatalogBrowse,PDT01261,8
ViewStandardCatalogBrowse,PDT01323,8
ViewStandardCatalogBrowse,PDT176586,8
ViewStandardCatalogBrowse,OFF_FR_439,8
ViewStandardCatalogBrowse,DimSearchStartBox,8
ViewStandardCatalogBrowse,PDT02433,8
ViewStandardCatalogProductPaging,C1140,8
ViewUserAccountShowRegisterClassic,cms_000003,8
