Source,Target,Traffic
C1730,C1740,2
C1730,OFF_FR_1157,2
C1730,C1910,2
C177531,C17,2
C1775,PDT01652,2
C1775,PDT00403,2
C1775,C155511,2
C1775,C1710,2
C1775,C1720,2
C1775,C1740,2
C1775,C1735,2
C1775,C1738,2
OFF_FR_1853,C17,2
OFF_FR_1853,SkuOFF_FR_1853,2
OFF_FR_1853,SkuPDT02454,2
OFF_FR_1854,ViewParametricSearchBrowse,2
OFF_FR_1854,C1320,2
SkuOFF_FR_1853,OFF_FR_1853,2
SkuOFF_FR_1854,SkuOFF_FR_1853,2
SkuOFF_FR_1854,C1710,2
OFF_FR_1855,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_0636,PDT01533,2
OFF_FR_0636,SkuPDT02366,2
OFF_FR_0636,ViewParametricSearchSimpleOfferSearch,2
PDT02088,PDT00041,2
PDT02088,PDT01342,2
PDT02453,PDT02453,2
PDT02453,ViewHeaderViewAccountIdentification,2
SkuPDT02088,SkuPDT02088,2
SkuPDT02453,SkuPDT02088,2
PDT02464,C171050,2
PDT00041,C1550,2
PDT00041,PDT02088,2
PDT00041,PDT02453,2
PDT00041,cms_000147,2
PDT00385,SkuPDT00385,2
PDT00385,ViewParametricSearchSimpleOfferSearch,2
C171050,PDT02464,2
C171050,C1735,2
OFF_FR_201,SkuOFF_FR_201,2
OFF_FR_201,PDT00613,2
OFF_FR_201,PDT05595,2
OFF_FR_201,ViewParametricSearchSimpleOfferSearch,2
SkuPDT02523,SkuPDT02523,2
PDT02523,PDT02523,2
PDT02523,C171025,2
PDT176586,C1110,2
PDT176586,PDT02454,2
PDT176586,PDT00185,2
PDT176586,PDT501594,2
PDT176586,ViewParametricSearchSimpleOfferSearch,2
PDT176586,ViewStandardCatalogBrowse,2
PDT176586,C1899,2
PDT176586,C1310,2
PDT176586,C1910,2
OFF_FR_433,C17,2
OFF_FR_433,ViewStandardCatalogBrowse,2
OFF_FR_433,cms_000147,2
PDT02454,C1530,2
PDT02454,C1110,2
PDT02454,C1420,2
PDT02454,C1211,2
PDT02454,OFF_FR_0782,2
PDT02454,C17,2
PDT02454,C2150,2
PDT02454,ViewOrderTemplateViewAll,2
PDT02454,C1310,2
PDT02454,SkuPDT176586,2
OFF_FR_0782,SkuOFF_FR_0782,2
OFF_FR_0782,PDT345612,2
OFF_FR_0782,C17,2
OFF_FR_0782,ViewOrderTemplateViewAll,2
SkuPDT345612,PDT02454,2
SkuPDT345612,PDT345612,2
SkuPDT345612,C1710,2
SkuPDT02454,OFF_FR_388,2
SkuPDT02454,PDT02460,2
SkuPDT02454,C17,2
SkuPDT02454,ViewParametricSearchSimpleOfferSearch,2
SkuPDT02454,SkuPDT01626,2
SkuPDT02454,C1410,4
SkuPDT02454,ViewOrdersSimpleOrderSearch,4
SkuPDT02454,ViewUserAccountStart,8
SkuPDT02454,SkuOFF_FR_408,2
SkuPDT02454,PDT176586,2
