Source,Target,Traffic
F60,PDT00307,2
PDT00231,home,2
PDT00231,RP2,2
PDT00231,PDT00472,2
PDT00231,C1160,2
PDT00231,C11,2
OFF_FR_1177,OFF_FR_1177,2
OFF_FR_1177,QP5R,2
OFF_FR_1177,ViewHeaderViewReference,2
OFF_FR_1177,OFF_FR_0925,2
QP2R,C1216,2
QP2R,OFF_FR_1177,2
QP4R,PDT00308,2
TUB626,PDT00473,2
TUB401,PDT00308,2
TUB401,PDT01531,2
TUB403,PDT00472,2
TUB405,PDT00472,2
TUB504,PDT00472,4
TUB504,ViewHeaderViewAccountIdentification,2
TUB603,PDT00472,2
TUB804,PDT00472,2
TUB804,C1216,2
RP4,PDT00231,2
RP4,RP4,2
RP4,ViewUserAccountStart,2
PDT00473,PDT00231,2
PDT00473,OFF_FR_1177,2
PDT00473,TUB1280,2
PDT00473,TUB626,2
PDT00473,PDT00473,2
PDT00472,/caissesboitestubes/boitespostalesetuisettubes/tubesrondscarrestriangulaires/null,2
PDT00472,TUB602,2
PDT00472,TUB603,2
PDT00472,TUB606,2
PDT00472,C1195,2
PDT00472,C11,2
PDT00472,C1410,2
PDT00472,C1212,2
PDT00472,C2125,2
PDT00472,ViewUserAccountStart,2
PDT00472,cms_000147,2
PDT00510,PDT00510,2
PDT00510,C2313,2
PDT00510,C12,2
PDT00510,C1310,2
PDT01192,C1150,2
PDT00308,PDT00231,2
PDT00308,PDT01192,2
PDT00308,TRB775B,2
PDT00308,C12,2
PDT00308,ViewHeaderViewAccountIdentification,2
PDT00308,ViewHeaderViewReference,2
PDT00308,ViewParametricSearchSimpleOfferSearch,2
PDT00308,ViewUserAccountStart,2
TRB643B,C1120,2
TRB775B,PDT00308,2
TRB895B,PDT00308,2
C1140,C1515,2
C1140,C15,2
C1140,PDT00303,2
C1140,EC01,2
C1140,PDT00464,2
C1140,BOR15,2
C1140,BEP203,2
C1140,OFF_FR_1052,2
C1140,RPT13,2
C1140,CPL10,2
C1140,C111012,2
C1140,OFF_FR_0774,2
C1140,CKM04,2
C1140,BFAT30,2
C1140,C1420,2
C1140,cms_000032,2
C1140,C9917,2
C1140,C2260,2
C1140,BM230N,2
C1140,C23,2
C1140,C1215,4
C1140,C16,2
C1140,C1653,2
C1140,C2125,2
C1140,ViewParametricSearchSimpleOfferSearch,2
C1140,C1393,2
C1140,C1370,2
C1140,C192020,2
C1140,C1930,2
EC40C,PDT345580,2
EC60C,PDT345580,2
RPT06B,OFF_FR_297,2
RPT11A,OFF_FR_297,2
RPT11A,DimSearchStartBox,2
RPT21D,OFF_FR_297,2
RPT21D,PDT00302,2
RPT21D,OFF_FR_413,2
RPT21D,DimSearchStartBox,2
PDT00274,OFF_FR_1615,2
PDT00274,BOC518,2
PDT00274,C119010,2
PDT00274,C11,2
BOC57,DimSearchStartBox,2
BOC59,DimSearchStartBox,2
BOC59,CAS30A,2
BOC61,PDT00277,2
BOC65,C1195,2
BOC63,DimSearchStartBox,2
BOC64,PDT00277,2
BOC12,PDT00277,2
BOC29,BOC35,2
BOC28,DimSearchStartBox,2
BOC31,home,2
BOC31,BOC31,2
BOC31,CAD48,2
BOC34,PDT00277,2
BOC514,home,2
BOC533,DimSearchStartBox,2
BOC521,DimSearchStartBox,2
BOC518,PDT00274,2
PDT01835,PDT02426,2
PDT01835,PMBL2C,2
PDT01835,ViewParametricSearchSimpleOfferSearch,2
PDT01835,ViewStandardCatalogBrowse,2
PDT01532,PDT01835,2
PDT01532,CHA80,2
PDT01532,PDT00277,2
PDT01532,CHV20,2
PDT01532,CHV15,2
PDT01532,CHV27A,2
PDT01532,OFF_FR_1676,2
PDT01532,cms_000047,2
PDT01532,ViewParametricSearchSimpleOfferSearch,2
PDT01532,cms_000147,2
PDT267585,home,2
PDT267585,CHA60,2
PDT267585,CHA83,2
CHA50,OFF_FR_412,2
CHA50,CAS39A,2
CHA80,OFF_FR_15083,2
PDT00278,RPT111B,2
PDT00278,BOC57,2
PDT00278,C980203,2
PDT00278,ViewStandardCatalogBrowse,2
PDT00277,C159510,2
PDT00277,PDT00302,2
PDT00277,PDT00274,2
PDT00277,BOC60,2
PDT00277,BOC65,2
PDT00277,BOC12,2
PDT00277,BOC35,2
PDT00277,PDT01532,2
PDT00277,C112020,2
PDT00277,PDT01830,2
PDT00277,PDT00282,2
PDT00277,OFF_FR_0950,2
PDT00277,OFF_FR_1595,2
PDT00277,C980203,2
PDT00277,cms_000047,2
CHV220,OFF_FR_115,2
CHV225,cms_000147,2
CHV215,OFF_FR_15021,2
CHV250,OFF_FR_114,2
OFF_FR_1675,C112020,2
CHV03,OFF_FR_408,2
CHV03,C1110,2
CHV13,DimSearchStartBox,2
CHV27,DimSearchStartBox,2
CHV50,CFAD310,2
C112020,PDT00274,4
C112020,PDT00278,4
C112020,C112015,2
C112020,C1110,2
C112020,C1150,2
C112020,DimSearchStartBox,2
C112020,C1930,2
OFF_FR_1587,OFF_FR_1594,2
C112015,C112020,2
C112015,C1190,2
C112015,OFF_FR_1556,2
C112027,C112020,2
C112027,C112010,2
C112027,C112012,2
C112027,C11,2
OFF_FR_1553,C112025,2
OFF_FR_1553,CAS67D,2
OFF_FR_1558,C112025,2
OFF_FR_1566,C1120,2
OFF_FR_1566,CAT23,2
OFF_FR_1566,ViewHeaderViewAccountIdentification,2
OFF_FR_1593,C1120,2
OFF_FR_1593,ViewHeaderViewReference,2
OFF_FR_1571,C151033,2
OFF_FR_1571,C112025,2
OFF_FR_1571,C1120,2
OFF_FR_1571,CAD44B,2
OFF_FR_1571,ViewParametricSearchSimpleOfferSearch,2
C112025,OFF_FR_1553,2
C112025,OFF_FR_1558,2
C112025,OFF_FR_1571,2
C112025,C1160,2
C112025,C1195,2
PDT116585,OFF_FR_1177,2
PDT116585,PDT176585,2
PDT116585,BLFA11,2
PDT116585,BLFA05,2
PDT116585,BLFA09,2
PDT116585,C1150,2
PDT116585,C1216,2
PDT116585,ViewStandardCatalogBrowse,2
PDT01531,PDT00308,2
PDT01531,BL49,2
PDT01531,BL50,2
PDT01531,PDT00247,2
PDT01531,BL10,2
PDT01531,BL39,2
PDT01531,BL23,2
PDT01531,BL17,2
PDT01531,C2120,2
PDT01531,ViewParametricSearchProductPaging,2
PDT01531,ViewParametricSearchSimpleOfferSearch,2
PDT01833,PDT01531,2
PDT01833,BL15,2
PDT01833,TGO20,2
PDT01833,TGO25,2
PDT01833,TGO40,2
PDT01833,TGO50,2
PDT01833,PDT01261,2
PDT01833,cms_000045,2
PDT01833,cms_000047,2
PDT01833,ViewParametricSearchSimpleOfferSearch,2
PDT01833,cms_000147,2
PDT176585,PDT01531,2
PDT176585,TGO03,2
PDT176585,TGO05,2
PDT176585,TGO17,2
