Source,Target,Traffic
home,B906,2
home,SAR5,2
home,SAR3,2
home,PDT01634,2
home,C134020,2
home,GAINE20NB,2
home,GAINE40NB,2
home,PDT00107,2
home,GAINE20B,2
home,GAINE20C,2
home,GAINE40C,2
home,GAINE60C,2
home,GAINE25D,2
home,GAINE6A,2
home,C133010,2
home,RSOUD621,2
home,SD300,2
home,SR10,2
home,SPP1318,2
home,SPP0710,2
home,OFF_FR_494,2
home,SPF40,2
home,SPP1000,2
home,PDT02474,2
home,PBAG73,2
home,PBAG23,2
home,PBAG93,2
home,PBAG05,2
home,PBAG10B,2
home,PBAG6B,2
home,RGP5B,2
home,RGP3B,2
home,RGP50,2
home,RGP08,2
home,RGP66,2
home,RGP76,2
home,RGP02,2
home,RGP120,2
home,RGP104,2
home,PBAG88B,2
home,PDT02433,2
home,OFF_FR_432,2
home,SP30A,2
home,SP79,2
home,SX3,2
home,SX4,2
home,SP15E,2
home,SP30E,2
home,PDT01402,2
home,PDT00319,2
home,OFF_FR_1777,2
home,11426,2
home,11428,2
home,OFF_FR_1973,2
home,SFADBL32,2
home,SFC3,2
home,SFC1,2
home,SLP20A,2
home,SLP90A,2
home,SLP71,2
home,PDT00176,2
home,C131050,2
home,SPP3555,2
home,PDT528581,2
home,SFAP1015,2
home,SZA1000,2
home,RGPG0406,2
home,RGPG0812,2
home,OFF_FR_1950,2
home,RECYSP40,2
home,OFF_FR_1055,2
home,OFF_FR_1054,2
home,SPA0812,2
home,OFF_FR_15051,2
home,5234J,2
home,OFF_FR_15075,2
home,5410,2
home,OFF_FR_15067,2
home,KM84LB,2
home,PDT01909,2
home,STAR5B,2
home,5180099,2
home,5120064,2
home,5130063,2
home,RBAC11,2
home,RBAC16,2
home,PDT02499,2
home,RBAC03,2
home,PDT01282,2
home,E4317R,2
home,E6417R,2
home,PDT00685,2
home,E3212,2
home,E8612,2
home,PDT00210,2
home,PDT01571,2
home,E431711,2
home,E432211,2
home,OFF_FR_1423,2
home,RBAC29,2
home,9C,2
home,35C,2
home,48C,2
home,84C,2
home,OFF_FR_1421,2
home,8584004,2
home,21020G,2
home,PDT00537,2
home,PDT00532,2
home,R4085,2
home,PDT02300,2
home,C192050,2
home,OFF_FR_152,2
home,44291,2
home,C192042,2
home,VB60141,2
home,FE46,2
home,PDT00342,2
home,OFF_FR_0873,2
home,C196510,2
home,OFF_FR_183,2
home,TSAP507,2
home,DESTAB2,2
home,TABECO,2
home,PDT00259,2
home,TX303J,2
home,TB103J,2
home,OFF_FR_395,2
home,OFF_FR_1252,2
home,WMIP4,2
home,RAJP20,2
home,RAJ20,2
home,EOB35K10,2
home,CXB30K10M,2
home,OFF_FR_1989,2
home,OFF_FR_1248,2
home,419702,2
home,PDT01880,2
home,PDT02351,2
home,418316,2
home,OFF_FR_1624,2
home,OFF_FR_1628,2
home,OFF_FR_1622,2
home,OFF_FR_1810,2
home,4291079,2
home,OFF_FR_1425,2
home,BAC015,2
home,PDT82578,2
home,OFF_FR_2052,2
home,PDT01300,2
home,PDT10575,2
home,11368,2
home,OFF_FR_144,2
home,C191021,2
home,2127TPE,2
home,OFF_FR_0867,2
home,OFF_FR_1808,2
home,PDT00772,2
home,3090,2
home,PDT00774,2
home,PDT173580,2
home,PDT01705,2
home,OFF_FR_1502,2
home,OFF_FR_1836,2
home,TPL25T,2
home,PDT01932,2
home,PDT00719,2
home,7221105,2
home,PDT02412,2
home,PDT02065,2
home,PDT01918,2
home,PDT01923,2
home,C193070,2
home,OFF_FR_1431,2
home,PDT01929,2
home,PDT01614,2
home,0882040,2
home,PDT01699,2
home,0882058,2
home,AT10H9,2
home,20210,2
home,20410,2
home,02511,2
home,PDT395591,2
home,PDT01279,2
home,OFF_FR_467,2
home,C198010,2
home,cms_000127,2
cms_000024,cms_000024,2
cms_000024,cms_000031,2
cms_000024,cms_000023,2
cms_000024,cms_000005,2
OFF_FR_1486,PDT00448,2
OFF_FR_1486,PDT01846,2
OFF_FR_1486,MFT231,2
OFF_FR_1486,ViewOrderTemplateViewAll,2
PDT00023,PDT01844,2
PDT00023,ViewHeaderViewAccountIdentification,2
C1512,C1540,2
C1512,C1560,2
C1512,C1555,2
C1512,OFF_FR_1835,2
PDT479581,C152510,2
PDT479582,C2120,2
PDT01151,PDT00512,2
SJ356D,PDT01664,2
ADP325F,OFF_FR_040,2
ADP325F,PDT01435,2
ADP325F,C151040,2
ADP325F,OFF_FR_179,2
ADP325F,ViewHeaderViewReference,2
ADP325P,ADP325P,2
ADP325P,PDT501582,2
ADP325P,PDT01435,2
ADP325P,OFF_FR_1059,2
ADP325P,OFF_FR_1058,2
PDT01664,PDT01219,2
PDT01664,C151545,2
PDT01219,MP219P,2
PDT01219,PDT01664,2
PDT01219,PDT01435,2
PDT01219,ViewHeaderViewAccountIdentification,2
PDT01219,ViewParametricSearchSimpleOfferSearch,2
PDT01219,home,2
PDT00439,PDT01505,2
OFF_FR_040,ADP325F,2
OFF_FR_040,OFF_FR_040,2
OFF_FR_040,ADP330,2
ADP330,OFF_FR_040,2
ADP330,ADP330,2
PDT02317,C151036,2
PDT02317,PDT02317,2
A0520N,PDT00439,2
A0520N,C1515,2
A0520N,ViewParametricSearchSimpleOfferSearch,2
PDT02233,C1513,2
PDT02233,C1525,2
PDT02233,C15,2
OFF_FR_469,C1515,2
C151540,C151510,2
C151540,C1513,2
C151540,C1520,2
C151540,cms_000045,2
C151540,PDT02312,2
C151540,PDT01476,2
C151545,PDT01664,2
C151545,C151540,2
PDT01217,C151520,2
4016B19,4016B19,2
PDT02200,C151540,2
PDT02200,ViewParametricSearchSimpleOfferSearch,2
PDT02328,C1515,2
PDT02328,C151320,2
PDT02334,OFF_FR_1483,2
C151520,C151530,2
C151520,PDT02334,2
C151550,OFF_FR_078,2
C151550,OFF_FR_1058,2
PDT501582,ADP325P,2
PDT501582,OFF_FR_1011,2
PDT01218,PDT00165,2
PDT01218,C1515,2
PDT01504,C1515,2
OFF_FR_236,C151510,2
OFF_FR_236,OFF_FR_1059,2
OFF_FR_236,ViewHeaderViewAccountIdentification,2
PDT00236,ADFB25,2
PDT00165,PDT00165,2
PDT00165,C1515,2
PDT00165,ViewParametricSearchSimpleOfferSearch,2
PDT01215,ADDF2,2
PDT01215,PDT02326,2
PDT01215,ViewParametricSearchProductPaging,2
ADFA25,OFF_FR_018,2
ADFA50,home,2
ADFA50,GAINE20A,2
OFF_FR_018,home,2
OFF_FR_018,PDT00167,2
OFF_FR_018,ViewProductReviewsStart,2
PDT02326,PDT02324,2
PDT02326,C1515,2
PDT02323,PDT02334,2
PDT02323,C1515,2
4970L19,PDT02324,2
PDT02324,PDT01215,2
PDT02324,4970L19,2
PDT02324,PDT02327,2
PDT02322,C151320,2
PDT02322,ViewParametricSearchSimpleOfferSearch,2
PDT02327,C1513,2
PDT02327,C1630,2
PDT02325,C151510,2
PDT02325,C1515,2
PDT02325,ViewParametricSearchSimpleOfferSearch,2
C151510,C151545,2
C151510,C151550,2
C151510,C151530,2
C151510,C1515,2
C151510,C1520,2
SD1002,PDT00437,2
PDT01435,OFF_FR_040,2
PDT01435,SD1002,2
PDT01435,OFF_FR_1058,2
PDT01435,C1510,2
PDT01435,ViewHeaderViewAccountIdentification,2
PDT00437,C151550,2
PDT00437,ViewParametricSearchSimpleOfferSearch,2
GDS1501,PDT00437,2
PDT466585,C1515,2
C151530,C121210,2
C1515,C151545,2
C1515,PDT02328,2
C1515,PDT00167,2
C1515,PDT01218,2
C1515,PDT00165,2
C1515,PDT02326,2
C1515,PDT02325,2
C1515,PDT351580,2
C1515,OFF_FR_1059,2
C1515,OFF_FR_151,2
C1515,C1540,2
C1515,C1550,2
C1515,C1632,2
C1515,C1653,2
C1515,C2120,2
C1515,C1393,2
PDT351580,PDT351580,2
ADFP19,PDT501582,2
OFF_FR_1059,ADP325P,2
OFF_FR_1059,OFF_FR_236,2
OFF_FR_1058,C1515,2
OFF_FR_1058,OFF_FR_1058,2
OFF_FR_1058,C151040,2
PDT523582,700ATG,2
PDT523582,PDT01385,2
PDT523582,C1530,2
OFF_FR_1191,C151034,2
OFF_FR_1191,C1510,2
ADG12FR,ADG12FR,2
ADG12FR,OFF_FR_2057,2
OFF_FR_1672,OFF_FR_15085,2
ADPC950BG,ADPC950BG,2
PDT01607,ADP75FR,2
PDT01607,C1510,2
ADP75FR,OFF_FR_2057,2
ADP75FR,PK01,2
OFF_FR_2056,PDT361580,2
OFF_FR_2056,OFF_FR_1479,2
PDT523581,C1530,2
PDT523581,C1652,2
ADKR50,ADKR50,2
ADKR50,ViewHeaderViewReference,2
OFF_FR_1192,C151039,2
ADG500HAV,ADG500HAV,2
OFF_FR_1189,ViewParametricSearchSimpleOfferSearch,2
C151041,C151040,2
C151041,C151042,2
C151041,C151037,2
C151041,C19,2
OFF_FR_15078,OFF_FR_15077,2
BGR60,cms_000147,2
BGR70,OFF_FR_15078,2
OFF_FR_15077,BG70,2
BG50,BG50,2
BG60,cms_000147,2
PDT01163,OFF_FR_15077,2
C152510,PDT479580,2
C152510,PDT01639,2
C152510,PDT02272,4
C152510,PDT12591,2
C152510,PDT479581,2
C152510,C1510,2
OFF_FR_1480,PDT02272,2
OFF_FR_1482,8328L35,2
OFF_FR_1482,cms_000147,2
C151040,C151041,2
C151040,C151042,2
PDT03612,C1510,2
ADPC350TMC,ADPC350TMC,2
ADPC350TMC,C1510,2
PDT467582,PDT02267,2
C151042,C151038,2
C151042,PDT00334,2
C151042,PDT00977,2
C151042,C1513,2
C151042,C15,2
C151042,ViewProductReviewsStart,2
C151042,ViewStandardCatalogBrowse,2
C151043,C151033,2
C151090,C1510,2
C151038,C151032,2
C151038,C151039,2
C151038,C15,2
C151035,C151040,2
C151035,C151038,2
C151035,C151035,2
C151035,C151039,2
C151035,C1520,2
PDT08560,PDT02539,2
PDT08560,C1510,2
ADP80,home,2
ADP80,ADG19,2
ADP80,FEB14E,2
ADP81,CAS28A,2
ADP81,ViewParametricSearchSimpleOfferSearch,2
PDT348581,C1510,2
ADH15,OFF_FR_2057,2
OFF_FR_1152,ADH50,2
APQUAL88,PDT00440,2
C151034,C151031,2
C151034,C151033,2
C151034,C15,2
C151034,PDT01607,2
C151034,PDT00333,2
C151034,OFF_FR_0778,2
OFF_FR_2058,home,2
OFF_FR_2058,PDT01607,2
OFF_FR_2058,ADGR70BG,2
OFF_FR_2058,ADH17,2
OFF_FR_2058,OFF_FR_2058,2
OFF_FR_2058,ADP71,2
OFF_FR_2058,C1513,2
OFF_FR_2058,C1530,2
OFF_FR_2058,ViewUserAccountStart,2
ADP71,OFF_FR_2058,2
OFF_FR_2057,ADG12FR,2
OFF_FR_2057,ADP75FR,2
OFF_FR_2057,ADP82,2
OFF_FR_2057,OFF_FR_0778,2
OFF_FR_2057,ADAFR50,2
OFF_FR_2057,C1513,2
OFF_FR_2057,C159510,2
OFF_FR_2057,C1410,2
OFF_FR_2057,C1437,2
OFF_FR_2057,C2127,2
ADPC351BLA,PDT00449,2
ADP14N,home,2
ADP14N,C1510,2
ADP13N,C1710,2
ADP13N,ADR4,2
ADP13N,CAS15A,2
ADP15N,ADP14N,2
ADP15N,ADP13N,2
ADT03N,OFF_FR_388,2
ADT03N,C1510,2
ADT15N,C1455,2
ADT15N,ViewParametricSearchSimpleOfferSearch,2
ADPC351TRA,ADH13,2
ADPC350TRA,ViewUserAccountStart,2
ADPC350TRA,PDT00449,2
PDT01422,OFF_FR_0778,2
PDT01422,PDT01641,2
PDT01422,C1180,2
PDT01422,C1210,2
PDT01422,ViewHeaderViewReference,2
PDT01422,ViewOrdersSimpleOrderSearch,2
PDT01422,ViewOrderTemplateViewAll,2
PDT01422,ViewParametricSearchSimpleOfferSearch,2
PDT01422,ViewStandardCatalogBrowse,2
3739HAV,PDT01116,2
3739HAV75,PDT01634,2
3739TRA,PDT01116,2
3739TRA,SCB11,2
OFF_FR_388,ADP09N,2
OFF_FR_388,ADT05N,2
OFF_FR_388,PDT01186,2
OFF_FR_388,PDT00449,2
OFF_FR_388,PDT02468,2
OFF_FR_388,OFF_FR_1214,2
OFF_FR_388,PDT02420,2
OFF_FR_388,PDT01642,2
OFF_FR_388,C1430,2
OFF_FR_388,C1210,2
OFF_FR_388,C1620,2
OFF_FR_388,PDT176586,2
OFF_FR_388,C1710,2
OFF_FR_388,C1720,2
OFF_FR_388,PDT254583,2
OFF_FR_388,ViewDataStart,4
OFF_FR_388,ViewProductReviewsStart,2
OFF_FR_388,ViewUserAccountStart,2
OFF_FR_388,C1310,2
