Source,Target,Traffic
PDT358580,OFF_FR_10122,2
65131,844098,2
PDT358581,OFF_FR_9672,2
PDT00495,ViewParametricSearchSimpleOfferSearch,2
NT271,OFF_FR_0889,2
C204020,C204010,2
C204020,ViewParametricSearchSimpleOfferSearch,2
C204010,OFF_FR_9692,2
C204010,C2018,2
C204010,OFF_FR_9886,2
C204010,C204020,2
C204010,OFF_FR_1104,2
C204010,OFF_FR_1099,2
OFF_FR_0891,TAPIS150,2
OFF_FR_0891,TAPIS75,2
TAPIS150,OFF_FR_0891,2
TAPIS75,C204040,2
PDT00214,C204040,2
OFF_FR_0889,C204040,2
OFF_FR_0889,C2040,2
OFF_FR_0889,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_0889,TC105B,2
C204030,OFF_FR_9952,4
C204030,OFF_FR_9957,4
C204030,OFF_FR_9956,2
C204030,OFF_FR_9626,2
C204040,PDT00214,2
C204040,OFF_FR_1911,4
C2040,C1110,2
C2040,OFF_FR_9761,2
C2040,OFF_FR_15006,2
C2040,OFF_FR_9394,2
C2040,OFF_FR_9388,2
C2040,OFF_FR_9952,2
C2040,OFF_FR_15009,2
C2040,PDT02288,2
C2040,PDT358581,2
C2040,OFF_FR_15080,2
C2040,PDT02405,2
C2040,C1653,2
C2040,C1630,2
C2040,ViewParametricSearchSimpleOfferSearch,2
C2040,ViewStandardCatalogBrowse,2
C2040,cms_000049,2
C2040,C13,2
C2040,C204030,2
C20,C1510,2
C20,C205020,2
C20,C202860,2
C20,C201260,2
C20,C201220,2
C20,C201230,2
C20,C201250,2
C20,C201040,2
C20,C204560,2
C20,C202560,2
C20,C202580,2
C20,C202510,2
C20,C204030,2
C20,C204040,2
C20,C17,2
C20,C2126,2
C20,ViewHeaderViewReference,2
C20,C13,2
C20,C1965,2
C20,C1960,2
C20,C1910,2
C20,C1930,2
C20,C201010,2
C20,C1985,2
C20,C1970,2
OFF_FR_1689,91162,2
7545,7545,2
7544,OFF_FR_1920,2
OFF_FR_1921,PDT247587,2
OFF_FR_1198,W073,2
W073,OFF_FR_1198,2
OFF_FR_1098,30028,2
OFF_FR_1098,ViewParametricSearchSimpleOfferSearch,2
838129,OFF_FR_1097,2
OFF_FR_1102,C204560,2
OFF_FR_1099,OFF_FR_1099,2
112510,112510,2
33103,ViewUserAccountShowRegisterClassic,2
33104,CHAB,2
OFF_FR_1911,C204040,2
OFF_FR_1911,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1133,C201040,2
OFF_FR_1133,ViewParametricSearchBrowse,2
OFF_FR_1792,C2010,2
OFF_FR_1134,PDT01246,2
OFF_FR_1134,PDT09589,2
OFF_FR_1134,C2018,2
OFF_FR_1144,C2012,2
OFF_FR_1145,C2012,2
OFF_FR_0978,ViewParametricSearchSimpleOfferSearch,2
120288,120288,2
OFF_FR_1136,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1840,C201210,2
740255,R450N,2
OFF_FR_1138,OFF_FR_1134,2
OFF_FR_1138,ViewParametricSearchSimpleOfferSearch,2
EM2CP,OFF_FR_1138,2
OFF_FR_0977,OFF_FR_1134,2
120269,237515,2
120269,510715,2
OFF_FR_1128,C20,2
OFF_FR_15011,C202530,2
OFF_FR_0980,C2050,2
OFF_FR_0980,C1310,2
247245,OFF_FR_0980,2
OFF_FR_2001,C2012,2
OFF_FR_2001,340655,2
340655,C212010,2
OFF_FR_1797,OFF_FR_1222,2
OFF_FR_2004,C201820,2
OFF_FR_1143,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1143,OFF_FR_9327,2
OFF_FR_2002,C2012,2
19882,OFF_FR_10027,2
OFF_FR_2010,C2032,2
OFF_FR_2010,JAVEL5,2
OFF_FR_1111,OFF_FR_1224,2
OFF_FR_1111,C20,2
3M7401,C20,2
3M7401,OFF_FR_1111,2
3M7401,3M7401,2
OFF_FR_1118,C2025,2
OFF_FR_1120,C2025,2
OFF_FR_1120,C202570,2
DESTOP1,DESTOP1,2
OFF_FR_1861,C2028,2
OFF_FR_1122,C202560,2
33115,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_2000,C2032,2
OFF_FR_1712,C2032,2
19524,19524,2
OFF_FR_1110,OFF_FR_1129,2
OFF_FR_1110,2030B,2
OFF_FR_1110,ViewParametricSearchSimpleOfferSearch,2
2030B,C203230,2
OFF_FR_1845,C202820,2
OFF_FR_1845,C2028,2
JAVEL5,ViewParametricSearchSimpleOfferSearch,2
OFF_FR_1114,C202810,2
OFF_FR_1114,PDT105578,2
56090102,PDT01238,2
C197060,PDT00934,2
C1211,C1195,2
C1211,C1410,2
C1211,cms_000048,2
C1211,C22,2
C1211,C121310,2
C1211,OFF_FR_0925,2
C1211,PPB55,2
C1211,OFF_FR_1881,2
C1211,PDT01677,2
C1211,ViewOrderTemplateViewAll,2
C1211,C1840,2
C1211,PDT01464,2
C1211,C1393,2
C1211,C1340,2
C1211,C131060,2
C1211,C131010,2
ENV7F,C1213,2
PDT01376,ENV8F,2
PDT01376,PDT01375,2
PDT01376,PDT239580,2
PDT00971,OFF_FR_1465,2
PDT01372,C1213,2
PDT239580,ENVL7F,2
OFF_FR_1464,C1213,2
OFF_FR_1464,C121320,2
OFF_FR_1453,C1213,2
OFF_FR_1453,C121320,2
PK03,OFF_FR_1045,2
PK03F,PDT02214,2
PK03F,REYOFFICE,2
PK04,PDT02214,2
PK01,C1213,2
PK01,ViewHeaderViewReference,2
501990,PDT00173,2
PRB1SF,PRB1SF,2
PDT02217,home,2
PDT01509,PDT02217,2
PDT01509,OFF_FR_1046,2
PDT00173,home,2
PDT00173,PDT02217,2
PDT00173,PDT02214,2
OFF_FR_1046,home,2
OFF_FR_1046,PDT01509,2
OFF_FR_1046,C121340,2
OFF_FR_1046,OFF_FR_0923,2
OFF_FR_1046,C12,2
OFF_FR_1045,home,2
OFF_FR_1045,OFF_FR_1045,2
OFF_FR_1045,PDT01173,2
OFF_FR_1045,PRF23,2
OFF_FR_1045,PRF33F,2
OFF_FR_1045,PRF43,2
OFF_FR_1045,PRF59,2
PDT01540,OFF_FR_1047,2
PDT02256,PDT02214,2
PDT02256,C1212,2
PDT02256,ViewParametricSearchSimpleOfferSearch,2
PDT00089,C1213,2
PDT01173,PDT02214,2
PDT01173,C12,2
PDT02214,PK04,2
PDT02214,PK05,2
PDT02214,OFF_FR_1046,2
PDT02214,PDT01173,2
PDT02214,OFF_FR_1451,2
PDT02214,C1215,2
PDT02214,C12,2
PDT02214,ViewHeaderViewAccountIdentification,2
ENVC155R,C121520,2
125324,PDT01981,2
125324,C1210,2
162324,PCF33,2
PDT176583,C1213,2
PDT176583,C1212,2
PDT176583,PDT182582,2
PDT01981,C1213,2
PDT01981,C1212,2
PDT01981,ViewStandardCatalogBrowse,2
PDT00525,C1211,2
PDT00525,PDT00525,2
PDT00525,C1213,2
ENV2,C2120,2
ENV2,ViewParametricSearchSimpleOfferSearch,2
ENV11,OFF_FR_1451,2
ENC125,PDT01370,2
ENC125,MCB100C,2
ENC150,ENC150,2
ENC150,PDT01370,2
OFF_FR_1452,PDT01376,2
OFF_FR_1452,PDT02214,2
OFF_FR_1452,ENV5,2
