Source,Target,Traffic
C1735,C17,16
PDT02510,PDT02510,16
PDT02510,PDT02506,16
OFF_FR_476,C1738,16
C1738,OFF_FR_15064,27
C17,C171025,25
C2126,C2110,16
C2126,C212630,16
C2126,C2122,16
C2126,PDT02486,16
C2122,PDT02119,16
C2122,C212225,16
C2150,PDT02342,16
C2115,C211510,16
PDT01047,C2120,16
C212020,PDT01048,24
PDT01609,C2110,16
OFF_FR_028,ViewParametricSearchSimpleOfferSearch,16
C212525,PDT00096,20
C21,ViewHeaderViewAccountIdentification,16
DefaultStart,cms_000032,16
DimSearchStartBag,ViewParametricSearchBrowse,16
DimSearchStartBox,BEP203,16
DimSearchStartBox,CHA50,16
DimSearchStartBox,CAD03,16
DimSearchStartBox,CAD05,16
DimSearchStartBox,CAD35,16
DimSearchStartBox,CAD36B,16
DimSearchStartBox,CAD38B,16
ViewCartCheckoutClassic,home,16
ViewOrdersSimpleOrderSearch,FEB14E,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_388,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT02268,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15084,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00285,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01534,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_9839,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1239,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_15101,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT02172,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00731,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_0885,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01223,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1490,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00185,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_130,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01383,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1617,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01952,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT00836,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_1254,16
ViewParametricSearchSimpleOfferSearch?internalSearch,OFF_FR_9662,16
ViewParametricSearchSimpleOfferSearch?internalSearch,PDT01127,16
ViewStandardCatalogBrowse,PDT01213,16
ViewUserAccountProcessLogin,ViewEquipierStepByStepViewAccountIdentification,16
C1860,PDT01622,16
C18,C19,16
PDT546580,C231611,16
cms_000039,cms_000147,16
cms_000147,C2311,16
cms_000147,C1930,16
cms_000049,C1110,16
cms_000049,C1910,16
C139320,OFF_FR_0000,19
PDT01545,C1393,16
PDT02127,C1393,16
C1393,PDT01436,16
C1360,C13,16
C131030,PDT01386,16
SPP1000,C131020,16
C131020,PDT02423,18
PDT02418,PDT02418,16
SX16,C1310,16
PDT01402,C131040,16
PDT01400,C131040,16
PDT00319,C1310,16
OFF_FR_1669,OFF_FR_1770,16
C1310,PDT02396,18
C1310,OFF_FR_1185,16
SZK100,OFF_FR_1616,16
C132010,PDT02131,16
C13,C1393,16
cms_000075,C11,16
cms_000075,ViewHeaderViewAccountIdentification,16
cms_000006,ViewUserAccountStart,16
cms_000011,cms_000045,16
cms_000005,cms_000020,16
cms_000005,cms_000019,16
OFF_FR_15053,C192060,16
RBAC20,PDT01272,16
OFF_FR_1724,OFF_FR_1833,16
14OF,PDT240591,16
C192020,C192030,20
PDT00738,C192040,16
OFF_FR_1978,OFF_FR_132,16
C192030,OFF_FR_0650,16
C192030,C192040,16
8735,8735,16
C192060,PDT92579,21
C192042,C192045,16
C1920,PDT02300,16
PDT00250,C194070,16
OFF_FR_1074,C194015,16
PDT01309,ViewParametricSearchSimpleOfferSearch,16
OFF_FR_1253,C194045,16
OFF_FR_1923,C194010,16
OFF_FR_9662,C194045,16
PDT02362,ViewParametricSearchSimpleOfferSearch,16
C191020,PDT395590,18
C191020,PDT01301,16
OFF_FR_1731,4009712,16
C1910,PDT00754,16
C1910,PDT173580,16
C193060,OFF_FR_1431,16
C193030,OFF_FR_1942,16
OFF_FR_1732,C1930,16
OFF_FR_404,C193010,16
C193010,C193020,18
PDT01619,C1930,16
C193020,OFF_FR_155,16
C193020,C193010,16
C1930,OFF_FR_1811,16
C1930,PDT01496,16
WorldWideWeb,MP219N,15
WorldWideWeb,OFF_FR_15077,15
WorldWideWeb,ADP136N,15
WorldWideWeb,OFF_FR_2051,15
WorldWideWeb,ADR50,15
WorldWideWeb,AT7NOIR,15
WorldWideWeb,SG3LIQ,15
WorldWideWeb,6400,15
WorldWideWeb,M800,15
WorldWideWeb,C153030,15
