Source,Target,Traffic
BEP203,DimSearchStartBox,4
BEP230,BEP230,4
BEP234,home,4
BEP235,BEP260,4
BEP240,DimSearchStartBox,4
BEP260,LPB,4
BEP270,BEP270,4
PDT00426,BEP360,4
BEP303,PDT00426,4
BEP04,PDT00426,4
PDT01466,ViewParametricSearchSimpleOfferSearch,4
PDT00572,BOR35,4
PDT00572,BOR50,4
PDT00572,PDT00457,4
PDT01193,PDT00302,4
PDT00457,QB15,4
PDT00457,PDT00458,4
PDT00457,PDT00457,4
OFF_FR_296,C159510,4
OFF_FR_296,RPT110,4
OFF_FR_296,C1195,4
OFF_FR_296,C1437,4
OFF_FR_296,C9917,4
OFF_FR_296,OFF_FR_008,4
OFF_FR_296,ViewStandardCatalogBrowse,4
OFF_FR_296,cms_000147,4
OFF_FR_297,RPT06,4
OFF_FR_297,RPT12,4
OFF_FR_297,RPT07A,4
OFF_FR_297,RPT11C,4
OFF_FR_297,C1195,4
OFF_FR_297,C1213,4
OFF_FR_297,ViewOrdersSimpleOrderSearch,4
OFF_FR_1450,OFF_FR_297,4
OFF_FR_1450,PDT12578,4
PDT00302,BEP234,4
PDT00302,ViewParametricSearchSimpleOfferSearch,4
PDT00302,C1310,4
RPT103,OFF_FR_296,4
RPT112,DimSearchStartBox,4
RPT120,RPT120,4
RPT123,ViewParametricSearchBrowse,4
RPT05,home,4
RPT05,OFF_FR_297,4
RPT06,OFF_FR_297,7
RPT09,DimSearchStartBox,4
RPT10B,OFF_FR_297,6
RPT20,OFF_FR_297,4
RPT20,RPT120,4
RPT20,DimSearchStartBox,4
C114010,PDT00458,6
C114010,C1195,4
OFF_FR_1591,C115020,4
OFF_FR_1570,RPT10,4
PDT00421,PDT00421,4
PDT00421,C114040,4
C114040,C1140,4
PDT01537,RPM01,4
PDT01537,ViewParametricSearchSimpleOfferSearch,4
C114011,OFF_FR_0775,4
C114011,PDT01882,4
C114011,C1140,4
C114011,ViewStandardCatalogBrowse,4
PDT00307,C121610,4
OFF_FR_1177,QP2R,4
TUB824,PDT00473,4
RP2,PDT00231,4
PDT00473,OFF_FR_1877,4
PDT00472,TUB1080,4
PDT00472,C121620,4
PDT00472,C12,4
PDT00472,ViewOrdersSimpleOrderSearch,4
PDT01192,PDT00308,4
PDT01192,ViewStandardCatalogBrowse,4
PDT00308,TRB643B,4
PDT00308,C1120,4
PDT00308,ViewOrderTemplateViewAll,4
C1140,PDT00583,4
C1140,OFF_FR_1654,4
C1140,C1440,4
C1140,ViewCartView,4
C1140,C1320,4
RPT01A,DimSearchStartBox,4
RPT06B,DimSearchStartBox,4
RPT07A,OFF_FR_297,6
PDT00274,PDT00274,4
PDT00274,PDT00278,4
BOC40,PDT00278,4
BOC65,C11,4
PDT01532,home,4
