Source,Target,Traffic
C2110,cms_000147,3
C2127,C2127,3
C2127,C2160,3
C2127,OFF_FR_2009,3
C212640,C2150,3
C212640,PDT01446,5
C212640,OFF_FR_0786,5
C212640,OFF_FR_0971,5
C212610,C212630,3
C212610,C2120,3
C212620,C212610,3
C212620,57745E,3
C212630,PDT01526,3
C212630,C212610,5
C212630,C2150,3
C212630,PDT01677,3
C212630,OFF_FR_1664,3
C2126,C16,3
C2126,PDT01526,3
C2126,PDT02106,3
C2126,OFF_FR_1664,3
C2126,PDT257580,3
C2126,OFF_FR_0971,3
C2126,OFF_FR_1906,3
C2126,C1899,3
C2126,C1920,3
PDT01068,820789,3
C212240,C212220,3
OFF_FR_136,27,5
PDT499611,C2122,3
OFF_FR_0895,C212220,3
C212220,C212240,3
C212220,C212220,3
PDT01450,home,3
PDT01450,C15,3
PDT01450,20009,3
PDT01450,OFF_FR_362,3
PDT01450,C2150,3
PDT01450,C2120,3
OFF_FR_399,N50A,3
OFF_FR_399,PDT02517,3
PDT01488,C212230,3
PDT02361,PDT02361,3
PDT02361,C2120,3
C212230,PDT02338,3
C212230,ViewStandardCatalogBrowse,3
OFF_FR_407,C212210,3
OFF_FR_362,home,3
OFF_FR_362,CRISB,3
OFF_FR_518,C212210,3
PDT01147,C2115,3
PDT01146,PDT01147,3
C212210,C2110,3
C212210,OFF_FR_210,3
C212210,C212210,3
C212210,C2150,3
C212210,C21,3
C2122,C2028,3
C2122,C1210,3
C2122,PDT345596,3
C2122,PDT01143,3
C2122,OFF_FR_210,3
C2122,ViewOrderTemplateViewAll,3
C2122,ViewStandardCatalogBrowse,3
PDT00865,C1580,3
PDT00865,C215040,3
PDT00865,ViewParametricSearchSimpleOfferSearch,3
PDT02542,C1580,3
C215040,PDT345600,3
C215040,PDT345597,5
C215040,PDT00865,6
C215040,C2150,3
9859,PDT00870,3
PDT02345,ViewParametricSearchSimpleOfferSearch,3
OFF_FR_168,C215060,3
PDT00870,home,3
PDT00870,9859,3
PDT02342,C2150,3
C215060,PDT01057,6
C215060,C2150,3
C215060,PDT12594,5
C215050,OFF_FR_1204,3
PDT221581,PDT221581,3
PDT221581,C2150,3
C215010,C2150,3
PDT01079,5376,3
PDT207580,PDT01076,3
53022,PDT01076,3
PDT01076,C2120,3
C2150,C1530,3
C2150,C2018,3
C2150,C1213,3
C2150,C2127,3
C2150,PDT01060,3
C2150,PDT12594,3
